forecast_config_id,kpi_id,forecast_horizon,forecast_unit,primary_method,fallback_method,minimum_history_periods,training_window,confidence_level,seasonality_enabled,low_confidence_rule,insufficient_history_rule,enabled_flag,configuration_version,effective_start_date,effective_end_date,approval_status,validation_status,created_datetime,updated_datetime
fcc_001,kpi_001,7-Day,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
fcc_002,kpi_001,30-Day Indicative,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
fcc_003,kpi_002,7-Day,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
fcc_004,kpi_002,30-Day Indicative,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
fcc_005,kpi_003,7-Day,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
fcc_006,kpi_003,30-Day Indicative,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
fcc_007,kpi_004,7-Day,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
fcc_008,kpi_004,30-Day Indicative,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
fcc_009,kpi_005,7-Day,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
fcc_010,kpi_005,30-Day Indicative,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
fcc_011,kpi_006,7-Day,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
fcc_012,kpi_006,30-Day Indicative,Days,Pending Method Selection,Pending Method Selection,,,,false,Show with low confidence label,Return Not Available,false,v1.0-draft,2026-07-25,,Draft,Pending Method Selection,2026-07-25T00:00:00,2026-07-25T00:00:00
