config_id,config_type,kpi_id,parameter_name,parameter_value,parameter_unit,description,enabled,version,status,effective_date,review_date,source_reference
RW_kpi_001_THR,COMPONENT_WEIGHT,kpi_001,threshold_component_weight,1.0,multiplier,Weight for threshold severity component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_001_BRH,COMPONENT_WEIGHT,kpi_001,breach_component_weight,1.0,multiplier,Weight for breach component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_001_WCH,COMPONENT_WEIGHT,kpi_001,watch_component_weight,1.0,multiplier,Weight for watch condition component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_001_PER,COMPONENT_WEIGHT,kpi_001,persistence_component_weight,1.0,multiplier,Weight for persistence component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_001_TRD,COMPONENT_WEIGHT,kpi_001,trend_component_weight,1.0,multiplier,Weight for trend component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_001_SUS,COMPONENT_WEIGHT,kpi_001,sustained_movement_weight,1.0,multiplier,Weight for sustained movement component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_001_SIG,COMPONENT_WEIGHT,kpi_001,statistical_signal_weight,1.0,multiplier,Weight for statistical signal component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_001_CNF,COMPONENT_WEIGHT,kpi_001,confidence_adjustment_weight,1.0,multiplier,Weight for confidence adjustment,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_001_GOV,COMPONENT_WEIGHT,kpi_001,governance_adjustment_weight,1.0,multiplier,Weight for governance adjustment,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_002_THR,COMPONENT_WEIGHT,kpi_002,threshold_component_weight,1.0,multiplier,Weight for threshold severity component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_002_BRH,COMPONENT_WEIGHT,kpi_002,breach_component_weight,1.0,multiplier,Weight for breach component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_002_WCH,COMPONENT_WEIGHT,kpi_002,watch_component_weight,1.0,multiplier,Weight for watch condition component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_002_PER,COMPONENT_WEIGHT,kpi_002,persistence_component_weight,1.0,multiplier,Weight for persistence component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_002_TRD,COMPONENT_WEIGHT,kpi_002,trend_component_weight,1.0,multiplier,Weight for trend component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_002_SUS,COMPONENT_WEIGHT,kpi_002,sustained_movement_weight,1.0,multiplier,Weight for sustained movement component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_002_SIG,COMPONENT_WEIGHT,kpi_002,statistical_signal_weight,1.0,multiplier,Weight for statistical signal component,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_002_CNF,COMPONENT_WEIGHT,kpi_002,confidence_adjustment_weight,1.0,multiplier,Weight for confidence adjustment,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
RW_kpi_002_GOV,COMPONENT_WEIGHT,kpi_002,governance_adjustment_weight,1.0,multiplier,Weight for governance adjustment,True,v1.0-draft,Technical Rule,2026-07-27,2026-12-31,Step 2B-3 Technical Design
