dataset_type,field_name,field_description,data_type,required_field,nullable,example_value,schema_profile
Staff Roster,roster_id,Unique roster record identifier,String,Yes,No,ROSTER-00000001,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,staff_id,Staff member identifier,String,Yes,No,STAFF-000001,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,hospital_id,Hospital facility identifier,String,Yes,No,HOSP-001,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,department_id,Department identifier,String,Yes,No,DEPT-001,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,role_id,Role classification identifier,String,Yes,No,ROLE-001,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,roster_date,Roster assignment date,Date,Yes,No,2024-01-15,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,shift_code,Shift classification code,String,Yes,No,MORNING,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,planned_start_datetime,Planned shift start datetime,Datetime,Yes,No,2024-01-15 08:00:00,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,planned_end_datetime,Planned shift end datetime,Datetime,Yes,No,2024-01-15 16:00:00,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,planned_hours,Planned shift duration in hours,Float,Yes,No,8.0,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,status,Roster status,String,Yes,No,Scheduled,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,version,Record version number,Float,No,No,1.0,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,source_system,Originating data system,String,No,No,SYNTHETIC,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,record_created_datetime,Record creation timestamp,Datetime,No,No,2024-01-15 00:00:00,SENTINEL360_SYNTHETIC_DEMO
Staff Roster,record_updated_datetime,Record update timestamp,Datetime,No,Yes,2024-01-15 00:00:00,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,attendance_id,Unique attendance record identifier,String,Yes,No,ATT-00000001,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,staff_id,Staff member identifier,String,Yes,No,STAFF-000001,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,hospital_id,Hospital facility identifier,String,Yes,No,HOSP-001,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,department_id,Department identifier,String,Yes,No,DEPT-001,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,role_id,Role classification identifier,String,Yes,No,ROLE-001,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,roster_id,Linked roster record identifier,String,Yes,No,ROSTER-00000001,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,attendance_date,Attendance date,Date,Yes,No,2024-01-15,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,shift_code,Shift classification code,String,Yes,No,MORNING,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,status,Attendance status,String,Yes,No,Present,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,actual_start_datetime,Actual shift start datetime,Datetime,No,Yes,2024-01-15 08:05:00,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,actual_end_datetime,Actual shift end datetime,Datetime,No,Yes,2024-01-15 16:10:00,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,actual_hours,Actual hours worked,Float,No,Yes,8.0,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,replacement_staff_id,Replacement staff identifier,String,No,Yes,,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,notes,Attendance notes,String,No,Yes,,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,source_system,Originating data system,String,No,No,SYNTHETIC,SENTINEL360_SYNTHETIC_DEMO
Staff Attendance,created_at,Record creation timestamp,Datetime,No,No,2024-01-15 00:00:00,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,encounter_id,Unique encounter identifier,String,Yes,No,ENC-00000001,SENTINEL360_SYNTHETIC_DEMO
Patient Encounters,hospital_id,Hospital facility identifier,String,Yes,No,HOSP-001,SENTINEL360_SYNTHETIC_DEMO
