watch_rule_id,watch_rule_code,watch_rule_name,applicable_kpi_id,rule_family,triggering_condition,tolerance_value,period_count,enabled_flag,priority,rule_status,configuration_version,effective_start_date,effective_end_date,approval_status,validation_status,created_datetime,updated_datetime
wrc_001,WATCH_APPROACH,Approaching Warning Boundary,kpi_001,Boundary Proximity,Value within tolerance of warning boundary moving adversely,,,false,1,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_002,WATCH_APPROACH,Approaching Warning Boundary,kpi_002,Boundary Proximity,Value within tolerance of warning boundary moving adversely,,,false,1,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_003,WATCH_APPROACH,Approaching Warning Boundary,kpi_003,Boundary Proximity,Value within tolerance of warning boundary moving adversely,,,false,1,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_004,WATCH_APPROACH,Approaching Warning Boundary,kpi_004,Boundary Proximity,Value within tolerance of warning boundary moving adversely,,,false,1,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_005,WATCH_APPROACH,Approaching Warning Boundary,kpi_005,Boundary Proximity,Value within tolerance of warning boundary moving adversely,,,false,1,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_006,WATCH_APPROACH,Approaching Warning Boundary,kpi_006,Boundary Proximity,Value within tolerance of warning boundary moving adversely,,,false,1,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_007,WATCH_TREND,Persistent Adverse Trend,kpi_001,Trend Persistence,KPI has moved adversely for consecutive periods,,,false,2,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_008,WATCH_TREND,Persistent Adverse Trend,kpi_002,Trend Persistence,KPI has moved adversely for consecutive periods,,,false,2,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_009,WATCH_TREND,Persistent Adverse Trend,kpi_003,Trend Persistence,KPI has moved adversely for consecutive periods,,,false,2,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_010,WATCH_TREND,Persistent Adverse Trend,kpi_004,Trend Persistence,KPI has moved adversely for consecutive periods,,,false,2,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_011,WATCH_TREND,Persistent Adverse Trend,kpi_005,Trend Persistence,KPI has moved adversely for consecutive periods,,,false,2,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_012,WATCH_TREND,Persistent Adverse Trend,kpi_006,Trend Persistence,KPI has moved adversely for consecutive periods,,,false,2,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_013,WATCH_VOLATILITY,Unusual Volatility,kpi_001,Volatility,Value has oscillated across approved magnitude for approved periods,,,false,3,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_014,WATCH_VOLATILITY,Unusual Volatility,kpi_002,Volatility,Value has oscillated across approved magnitude for approved periods,,,false,3,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_015,WATCH_VOLATILITY,Unusual Volatility,kpi_003,Volatility,Value has oscillated across approved magnitude for approved periods,,,false,3,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_016,WATCH_VOLATILITY,Unusual Volatility,kpi_004,Volatility,Value has oscillated across approved magnitude for approved periods,,,false,3,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_017,WATCH_VOLATILITY,Unusual Volatility,kpi_005,Volatility,Value has oscillated across approved magnitude for approved periods,,,false,3,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_018,WATCH_VOLATILITY,Unusual Volatility,kpi_006,Volatility,Value has oscillated across approved magnitude for approved periods,,,false,3,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
wrc_019,WATCH_LOW_CONF,Low Confidence Near Boundary,kpi_001,Confidence Boundary,Value near boundary and data confidence is Low,,,false,4,Configurable Placeholder,v1.0-draft,2026-07-25,,Draft,Configurable Placeholder,2026-07-25T00:00:00,2026-07-25T00:00:00
