cf_record_id,relationship_id,source_kpi_id,source_kpi_name,target_kpi_id,target_kpi_name,contributing_factor_classification,confidence_level,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_002,kpi_001_kpi_002,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,Plausible Contributing Factor,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_003,kpi_001_kpi_003,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_004,kpi_001_kpi_004,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,Weak Association,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_005,kpi_001_kpi_005,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_006,kpi_001_kpi_006,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_003,kpi_002_kpi_003,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_004,kpi_002_kpi_004,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,Weak Association,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_005,kpi_002_kpi_005,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_006,kpi_002_kpi_006,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,No Supported Relationship,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_004,kpi_003_kpi_004,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_005,kpi_003_kpi_005,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_006,kpi_003_kpi_006,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_005,kpi_004_kpi_005,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,No Supported Relationship,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
