cf_record_id,relationship_id,hospital_id,department_id,source_kpi_id,source_kpi_name,target_kpi_id,target_kpi_name,association_component,cooccurrence_component,temporal_component,trend_component,department_stability_component,time_stability_component,plausibility_component,evidence_quality_component,contradiction_penalty,governance_adjustment,contributing_factor_score_raw,contributing_factor_score_normalized,contributing_factor_classification,contradiction_flag,contradiction_severity,contradiction_summary,contains_provisional_kpi,provisional_relationship_flag,provisional_kpi_list,provisional_contribution_materiality,confidence_level,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,69.71,18.08,47.51,44.06,100.0,50,75.0,100.0,15,1.0,45.69,45.69,Plausible Contributing Factor,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0.0,0.0,50.0,0.0,33.33,50,50.0,0.0,15,0.92,5.83,5.37,No Supported Relationship,True,Material,Pooled direction differs from most departments; Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,0.0,0.0,50.0,0.0,100.0,50,75.0,0.0,5,1.0,25.0,25.0,Weak Association,True,Minor,Very limited observation count,False,False,,No Contradiction,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0.0,0.0,50.0,0.0,33.33,50,75.0,0.0,15,0.92,8.33,7.67,No Supported Relationship,True,Material,Pooled direction differs from most departments; Very limited observation count,True,True,kpi_005,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,6.05,3.84,24.48,37.35,0.0,50,75.0,100.0,15,1.0,16.69,16.69,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0.0,0.0,50.0,0.0,66.67,50,50.0,0.0,5,0.92,19.17,17.63,No Supported Relationship,True,Minor,Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,0.0,0.0,50.0,0.0,100.0,50,75.0,0.0,5,1.0,25.0,25.0,Weak Association,True,Minor,Very limited observation count,False,False,,No Contradiction,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0.0,0.0,50.0,0.0,33.33,50,50.0,0.0,15,0.92,5.83,5.37,No Supported Relationship,True,Material,Pooled direction differs from most departments; Very limited observation count,True,True,kpi_005,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,2.43,3.28,26.66,37.08,25.0,50,50.0,100.0,15,1.0,16.19,16.19,No Supported Relationship,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ADM,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0.0,0.0,0.0,0.0,50.0,50,75.0,0.0,5,0.92,12.5,11.5,No Supported Relationship,True,Minor,Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ADM,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0.0,0.0,0.0,0.0,50.0,50,75.0,0.0,5,0.92,12.5,11.5,No Supported Relationship,True,Minor,Very limited observation count,True,True,kpi_003; kpi_005,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ADM,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0.0,0.0,0.0,0.0,33.33,50,50.0,0.0,15,0.92,-1.67,0.0,No Supported Relationship,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ADM,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0.0,0.0,0.0,0.0,100.0,50,75.0,0.0,5,0.92,17.5,16.1,No Supported Relationship,True,Minor,Very limited observation count,True,True,kpi_005,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ADM,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0.0,0.0,0.0,0.0,100.0,50,75.0,0.0,5,1.0,17.5,17.5,No Supported Relationship,True,Minor,Target frequently precedes source; Very limited observation count,False,False,,No Contradiction,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ADM,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,0.0,0.0,0.0,0.0,0.0,50,75.0,0.0,15,0.92,-2.5,0.0,No Supported Relationship,True,Material,Pooled direction differs from most departments; Target frequently precedes source; Very limited observation count,True,True,kpi_005,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-DIAG,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,63.06,24.1,42.05,42.69,100.0,50,75.0,100.0,15,1.0,44.3,44.3,Plausible Contributing Factor,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,False,False,,No Contradiction,High,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-DIAG,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0.0,0.0,50.0,0.0,33.33,50,50.0,0.0,15,0.92,5.83,5.37,No Supported Relationship,True,Material,Pooled direction differs from most departments; Very limited observation count,True,True,kpi_003,Material,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:40.621536
