summary_id,hospital_id,department_id,reporting_date,department_risk_score,priority_tier,urgency_level,dominant_kpi_id,strongest_associated_kpi_id,strongest_cf_hypothesis,contributing_factor_score,supporting_relationship_count,contradictory_relationship_count,relationship_confidence,provisional_relationship_flag,evidence_pack_id,human_validation_required,engine_run_id,processed_at
SUM-RELCF-20260728043649-HOSP-001-DEPT-PEX-20260103,HOSP-001,DEPT-PEX,2026-01-03,53.674,Elevated,Immediate Review,kpi_002,kpi_001,Plausible Contributing Factor,46.85,1,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-PEX-20260103,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-MED-20260103,HOSP-001,DEPT-MED,2026-01-03,46.5368,Elevated,Immediate Review,kpi_006,kpi_001,Plausible Contributing Factor,44.15,1,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-MED-20260103,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-DIAG-20260103,HOSP-001,DEPT-DIAG,2026-01-03,43.9849,Elevated,Immediate Review,kpi_002,kpi_001,Plausible Contributing Factor,44.3,4,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-DIAG-20260103,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-ICU-20260104,HOSP-001,DEPT-ICU,2026-01-04,53.9701,Elevated,Immediate Review,kpi_002,kpi_001,Plausible Contributing Factor,46.72,1,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-ICU-20260104,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-ICU-20260106,HOSP-001,DEPT-ICU,2026-01-06,68.5204,High,Immediate Review,kpi_001,kpi_002,Plausible Contributing Factor,46.72,1,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-ICU-20260106,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-ED-20260106,HOSP-001,DEPT-ED,2026-01-06,49.3309,Elevated,Prompt Review,kpi_002,kpi_001,Plausible Contributing Factor,46.51,4,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-ED-20260106,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-ED-20260107,HOSP-001,DEPT-ED,2026-01-07,80.6793,Critical,Immediate Review,kpi_001,kpi_002,Plausible Contributing Factor,46.51,4,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-ED-20260107,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-OPC-20260107,HOSP-001,DEPT-OPC,2026-01-07,77.1288,Critical,Immediate Review,kpi_001,kpi_002,Plausible Contributing Factor,48.11,4,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-OPC-20260107,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-DIAG-20260107,HOSP-001,DEPT-DIAG,2026-01-07,43.5396,Elevated,Immediate Review,kpi_005,kpi_001,Plausible Contributing Factor,44.3,4,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-DIAG-20260107,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-ADM-20260107,HOSP-001,DEPT-ADM,2026-01-07,45.5462,Elevated,Prompt Review,kpi_001,kpi_002,Plausible Contributing Factor,45.69,1,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-ADM-20260107,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-ICU-20260107,HOSP-001,DEPT-ICU,2026-01-07,38.8581,Elevated,Prompt Review,kpi_003,kpi_001,Plausible Contributing Factor,46.72,1,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-ICU-20260107,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-MED-20260107,HOSP-001,DEPT-MED,2026-01-07,38.12,Elevated,Review Soon,kpi_003,kpi_001,Plausible Contributing Factor,44.15,1,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-MED-20260107,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-SURG-20260107,HOSP-001,DEPT-SURG,2026-01-07,35.5536,Elevated,Review Soon,kpi_003,kpi_001,Plausible Contributing Factor,47.15,1,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-SURG-20260107,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-DIAG-20260108,HOSP-001,DEPT-DIAG,2026-01-08,82.2447,Critical,Immediate Review,kpi_001,kpi_002,Plausible Contributing Factor,44.3,4,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-DIAG-20260108,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-ED-20260108,HOSP-001,DEPT-ED,2026-01-08,75.5199,Critical,Immediate Review,kpi_001,kpi_002,Plausible Contributing Factor,46.51,4,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-ED-20260108,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-ADM-20260108,HOSP-001,DEPT-ADM,2026-01-08,56.3733,High,Prompt Review,kpi_001,kpi_002,Plausible Contributing Factor,45.69,1,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-ADM-20260108,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
SUM-RELCF-20260728043649-HOSP-001-DEPT-ICU-20260108,HOSP-001,DEPT-ICU,2026-01-08,39.0038,Elevated,Prompt Review,kpi_003,kpi_001,Plausible Contributing Factor,46.72,1,15,High,False,EVID-RELCF-20260728043649-HOSP-001-DEPT-ICU-20260108,True,RELCF-20260728043649,2026-07-28T04:37:40.621536
