department_risk_record_id,hospital_id,department_id,reporting_date,assessable_kpi_count,unavailable_kpi_count,green_kpi_count,amber_kpi_count,red_kpi_count,critical_kpi_count,low_utilisation_count,watch_condition_count,repeated_breach_count,deteriorating_kpi_count,provisional_kpi_count,maximum_kpi_risk_score,average_assessable_kpi_risk_score,concurrent_risk_flag,concurrent_kpi_count,concurrent_kpi_list,concurrence_score,concurrence_rule_id,escalation_score,department_risk_score_raw,department_risk_score_normalized,department_priority_tier,urgency_level,dominant_kpi_id,dominant_kpi_name,dominant_kpi_score,dominant_driver_reason,dominant_driver_is_provisional,secondary_driver_1,secondary_driver_2,contributing_kpi_count,contributing_kpi_list,confidence_level,contains_provisional_kpi,provisional_risk_flag,provisional_risk_contribution,provisional_contribution_materiality,governance_warning,evidence_pack_id,data_availability_status,department_data_availability_rate,minimum_assessable_kpi_requirement,engine_run_id,processed_at,kpi_id,threshold_state,threshold_is_provisional,dominant_threshold_is_provisional,dominant_breach_type_governed,dominant_driver_governance_warning,dominant_driver_reason_governed
DRS-CB22521365D6,HOSP-001,DEPT-ICU,2026-01-01,4,2,3,0,0,0,1,3,1,0,2,28.2717,11.71465,False,1,kpi_003,0.0,,3.0,16.53666,22.6639,Monitor,Prompt Review,kpi_003,Bed Occupancy Rate,28.2717,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,True,kpi_002,kpi_006,1,kpi_003,Low,True,True,28.2717,Dominant,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,DEP-EP-C83D6D7F33CC,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_003,Low Utilisation,True,True,Provisional Breach,Dominant risk driver uses provisional threshold,threshold=Low Utilisation; breach=Provisional Breach
DRS-246354D2F589,HOSP-001,DEPT-ADM,2026-01-01,3,3,2,1,0,0,0,2,0,0,2,39.2391,14.4565,False,1,kpi_001,0.0,,0.0,21.994545,30.1441,Monitor,Review Soon,kpi_001,Staffing Level,39.2391,threshold=Amber; breach=Provisional Breach; watch=Moderate,False,kpi_006,kpi_002,1,kpi_001,Moderate,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-41251D7B64C8,Limited,0.5,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Amber,False,False,Amber Condition,Dominant risk driver uses approved threshold,threshold=Amber; breach=Amber Condition
DRS-DD4D602FE71F,HOSP-001,DEPT-SURG,2026-01-01,4,2,3,0,0,0,1,3,0,0,2,28.2717,9.64945,False,1,kpi_003,0.0,,0.0,15.6171,21.4036,Monitor,Routine Monitoring,kpi_003,Bed Occupancy Rate,28.2717,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,True,kpi_006,kpi_002,1,kpi_003,Low,True,True,28.2717,Dominant,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,DEP-EP-96F7726407BF,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_003,Low Utilisation,True,True,Provisional Breach,Dominant risk driver uses provisional threshold,threshold=Low Utilisation; breach=Provisional Breach
DRS-2652EC1BEDBA,HOSP-001,DEPT-DIAG,2026-01-01,5,1,5,0,0,0,0,1,0,0,2,8.2609,1.65218,False,0,,0.0,,0.0,4.213058999999999,5.7741,Stable,Routine Monitoring,kpi_006,Patient Satisfaction Score,8.2609,watch=Low,False,kpi_001,kpi_002,0,,Low,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-6736C6AB5E34,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_006,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-7DC63D69A981,HOSP-001,DEPT-MED,2026-01-01,4,2,4,0,0,0,0,2,0,0,2,4.1304,3.929325,False,0,,0.0,,0.0,3.0374775,4.1629,Stable,Routine Monitoring,kpi_001,Staffing Level,4.1304,No current adverse indicators,False,kpi_002,kpi_006,0,,Low,True,False,3.3261,Minor,Department contains provisional threshold KPIs,DEP-EP-085C9D159D82,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-63C7A2DDACA3,HOSP-001,DEPT-PEX,2026-01-01,3,3,3,0,0,0,0,2,0,0,2,4.1304,2.0652,False,0,,0.0,,0.0,2.47824,3.3965,Stable,Routine Monitoring,kpi_006,Patient Satisfaction Score,4.1304,watch=Low,False,kpi_001,kpi_002,0,,Moderate,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-76FB5F0A1192,Limited,0.5,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_006,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-F863B7B0785F,HOSP-001,DEPT-ED,2026-01-01,5,1,5,0,0,0,0,1,0,0,2,4.1304,1.65216,False,0,,0.0,,0.0,2.354328,3.2267,Stable,Routine Monitoring,kpi_002,Staff Absenteeism Rate,4.1304,No current adverse indicators,False,kpi_006,kpi_001,0,,Low,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-6EA45532C141,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_002,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-8D008EBC6EB9,HOSP-001,DEPT-OPC,2026-01-01,5,1,5,0,0,0,0,2,0,0,2,4.1304,1.4913,False,0,,0.0,,0.0,2.30607,3.1605,Stable,Routine Monitoring,kpi_006,Patient Satisfaction Score,4.1304,watch=Low,False,kpi_005,kpi_001,0,,Low,True,False,3.3261,Minor,Department contains provisional threshold KPIs,DEP-EP-C537262B07AD,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_006,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-83502370D160,HOSP-001,DEPT-SURG,2026-01-02,4,2,2,2,0,0,0,3,0,0,2,39.2391,21.684775,True,2,kpi_001; kpi_002,5.0,Workforce Pressure,0.0,24.9130275,34.144,Monitor,Review Soon,kpi_001,Staffing Level,39.2391,threshold=Amber; breach=Provisional Breach; watch=Moderate,False,kpi_002,kpi_006,2,kpi_001; kpi_002,Low,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-0CCEB0E07B59,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_001,Amber,False,False,Amber Condition,Dominant risk driver uses approved threshold,threshold=Amber; breach=Amber Condition
DRS-FE0DA273399C,HOSP-001,DEPT-MED,2026-01-02,4,2,3,0,0,0,1,2,0,0,2,28.2717,10.165725,False,1,kpi_003,0.0,,0.0,15.7719825,21.6159,Monitor,Routine Monitoring,kpi_003,Bed Occupancy Rate,28.2717,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,True,kpi_001,kpi_002,1,kpi_003,Low,True,True,28.2717,Dominant,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,DEP-EP-01558200398D,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_003,Low Utilisation,True,True,Provisional Breach,Dominant risk driver uses provisional threshold,threshold=Low Utilisation; breach=Provisional Breach
DRS-9D589B09D0C3,HOSP-001,DEPT-ICU,2026-01-02,4,2,4,0,0,0,0,3,1,0,2,14.4565,7.342375,False,0,,0.0,,3.0,9.0081375,12.3459,Stable,Prompt Review,kpi_002,Staff Absenteeism Rate,14.4565,watch=Moderate,False,kpi_003,kpi_001,0,,Low,True,False,6.6522,Minor,Department contains provisional threshold KPIs,DEP-EP-1C239F186C08,Sufficient,0.6666666666666666,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_002,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-27DB64C68A82,HOSP-001,DEPT-ED,2026-01-02,5,1,5,0,0,0,0,2,0,0,2,6.6522,3.80868,False,0,,0.0,,0.0,4.136094,5.6686,Stable,Routine Monitoring,kpi_005,Patient Complaint Rate,6.6522,watch=Low,True,kpi_002,kpi_004,0,,Low,True,True,6.6522,Dominant,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,DEP-EP-C20A3AA45221,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_005,Green,True,True,No Breach,Dominant risk driver uses provisional threshold,No current adverse indicators
DRS-FC387EFF9460,HOSP-001,DEPT-PEX,2026-01-02,3,3,3,0,0,0,0,2,0,0,2,4.1304,2.0652,False,0,,0.0,,0.0,2.47824,3.3965,Stable,Routine Monitoring,kpi_006,Patient Satisfaction Score,4.1304,watch=Low,False,kpi_001,kpi_002,0,,Moderate,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-199C46086F0F,Limited,0.5,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_006,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-63A16FF143CF,HOSP-001,DEPT-OPC,2026-01-02,5,1,5,0,0,0,0,1,0,0,2,4.1304,1.65216,False,0,,0.0,,0.0,2.354328,3.2267,Stable,Routine Monitoring,kpi_004,Average Patient Waiting Time,4.1304,No current adverse indicators,False,kpi_006,kpi_001,0,,Low,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-BD19456AECAF,Sufficient,0.8333333333333334,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_004,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
DRS-5F5DA44F9CB2,HOSP-001,DEPT-ADM,2026-01-02,3,3,3,0,0,0,0,1,0,0,2,4.1304,1.3768,False,0,,0.0,,0.0,2.27172,3.1135,Stable,Routine Monitoring,kpi_006,Patient Satisfaction Score,4.1304,watch=Low,False,kpi_001,kpi_002,0,,Moderate,True,False,0.0,,Department contains provisional threshold KPIs,DEP-EP-9C0D2F6C9B2E,Limited,0.5,4,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471,kpi_006,Green,False,False,No Breach,Dominant risk driver uses approved threshold,No current adverse indicators
