hospital_id,department_id,reporting_date,contains_provisional_kpi,provisional_risk_flag,dominant_driver_is_provisional,provisional_risk_contribution,provisional_contribution_materiality,provisional_kpi_count,provisional_driver_list,governance_warning,engine_run_id,processed_at
HOSP-001,DEPT-ICU,2026-01-01,True,True,True,28.2717,Dominant,2,kpi_003; kpi_005,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ADM,2026-01-01,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-SURG,2026-01-01,True,True,True,28.2717,Dominant,2,kpi_003; kpi_005,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-DIAG,2026-01-01,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-MED,2026-01-01,True,False,False,3.3261,Minor,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-PEX,2026-01-01,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ED,2026-01-01,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-OPC,2026-01-01,True,False,False,3.3261,Minor,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-SURG,2026-01-02,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-MED,2026-01-02,True,True,True,28.2717,Dominant,2,kpi_003; kpi_005,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ICU,2026-01-02,True,False,False,6.6522,Minor,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ED,2026-01-02,True,True,True,6.6522,Dominant,2,kpi_003; kpi_005,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-PEX,2026-01-02,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-OPC,2026-01-02,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ADM,2026-01-02,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-DIAG,2026-01-02,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-PEX,2026-01-03,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-MED,2026-01-03,True,False,False,6.6522,Minor,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-DIAG,2026-01-03,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ICU,2026-01-03,True,True,True,31.5978,Dominant,2,kpi_003; kpi_005,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-SURG,2026-01-03,True,True,True,28.2717,Dominant,2,kpi_003; kpi_005,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ED,2026-01-03,True,True,True,6.6522,Dominant,2,kpi_003; kpi_005,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ADM,2026-01-03,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-OPC,2026-01-03,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ICU,2026-01-04,True,True,False,31.5978,Material,2,kpi_003; kpi_005,Department contains provisional threshold KPIs; Provisional KPI materially affects department risk,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-DIAG,2026-01-04,True,True,False,31.5978,Material,2,kpi_003; kpi_005,Department contains provisional threshold KPIs; Provisional KPI materially affects department risk,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-SURG,2026-01-04,True,False,False,3.3261,Minor,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-MED,2026-01-04,True,True,True,31.5978,Dominant,2,kpi_003; kpi_005,Department contains provisional threshold KPIs; Provisional KPI is dominant risk driver,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ED,2026-01-04,True,False,False,3.3261,Minor,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-ADM,2026-01-04,True,False,False,0.0,None,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
HOSP-001,DEPT-OPC,2026-01-04,True,False,False,3.3261,Minor,2,kpi_003; kpi_005,Department contains provisional threshold KPIs,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
