reporting_date,hospital_id,department_id,department_risk_score_normalized,department_priority_tier,urgency_level,rank_within_hospital,dominant_kpi_id,dominant_kpi_name,dominant_driver_reason,secondary_driver_1,secondary_driver_2,assessable_kpi_count,provisional_risk_flag,confidence_level,evidence_pack_id,engine_run_id,processed_at
2026-01-01,HOSP-001,DEPT-ICU,22.6639,Monitor,Prompt Review,1,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_006,4,True,Low,DEP-EP-C83D6D7F33CC,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-01,HOSP-001,DEPT-ADM,30.1441,Monitor,Review Soon,2,kpi_001,Staffing Level,threshold=Amber; breach=Provisional Breach; watch=Moderate,kpi_006,kpi_002,3,False,Moderate,DEP-EP-41251D7B64C8,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-01,HOSP-001,DEPT-SURG,21.4036,Monitor,Routine Monitoring,3,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_006,kpi_002,4,True,Low,DEP-EP-96F7726407BF,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-01,HOSP-001,DEPT-DIAG,5.7741,Stable,Routine Monitoring,4,kpi_006,Patient Satisfaction Score,watch=Low,kpi_001,kpi_002,5,False,Low,DEP-EP-6736C6AB5E34,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-01,HOSP-001,DEPT-MED,4.1629,Stable,Routine Monitoring,5,kpi_001,Staffing Level,No current adverse indicators,kpi_002,kpi_006,4,False,Low,DEP-EP-085C9D159D82,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-01,HOSP-001,DEPT-PEX,3.3965,Stable,Routine Monitoring,6,kpi_006,Patient Satisfaction Score,watch=Low,kpi_001,kpi_002,3,False,Moderate,DEP-EP-76FB5F0A1192,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-01,HOSP-001,DEPT-ED,3.2267,Stable,Routine Monitoring,7,kpi_002,Staff Absenteeism Rate,No current adverse indicators,kpi_006,kpi_001,5,False,Low,DEP-EP-6EA45532C141,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-01,HOSP-001,DEPT-OPC,3.1605,Stable,Routine Monitoring,8,kpi_006,Patient Satisfaction Score,watch=Low,kpi_005,kpi_001,5,False,Low,DEP-EP-C537262B07AD,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-02,HOSP-001,DEPT-SURG,34.144,Monitor,Review Soon,1,kpi_001,Staffing Level,threshold=Amber; breach=Provisional Breach; watch=Moderate,kpi_002,kpi_006,4,False,Low,DEP-EP-0CCEB0E07B59,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
2026-01-02,HOSP-001,DEPT-MED,21.6159,Monitor,Routine Monitoring,2,kpi_003,Bed Occupancy Rate,threshold=Low Utilisation; breach=Provisional Breach; watch=Moderate,kpi_001,kpi_002,4,True,Low,DEP-EP-01558200398D,RISKPRIOR-20260728062026,2026-07-28T06:20:28.344471
