hospital_risk_summary_id,hospital_id,reporting_date,department_count,assessable_department_count,stable_department_count,monitor_department_count,elevated_department_count,high_department_count,critical_department_count,not_assessable_department_count,highest_department_risk_score,highest_risk_department_id,top_three_department_ids,top_three_dominant_drivers,provisional_risk_department_count,overall_data_availability_rate,maximum_urgency_level,hospital_summary_status,engine_run_id,processed_at
HRS-0E20516155A1,HOSP-001,2026-01-01,8,8,5,3,0,0,0,0,30.1441,DEPT-ADM,DEPT-ADM; DEPT-ICU; DEPT-SURG,Staffing Level; Bed Occupancy Rate; Bed Occupancy Rate,2,0.6875,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-2D77BA4FDBFA,HOSP-001,2026-01-02,8,8,6,2,0,0,0,0,34.144,DEPT-SURG,DEPT-SURG; DEPT-MED; DEPT-ICU,Staffing Level; Bed Occupancy Rate; Staff Absenteeism Rate,2,0.6458,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-02201F8E6339,HOSP-001,2026-01-03,8,8,3,2,3,0,0,0,53.674,DEPT-PEX,DEPT-PEX; DEPT-MED; DEPT-DIAG,Staff Absenteeism Rate; Patient Satisfaction Score; Staff Absenteeism Rate,3,0.6875,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-4E6658B851E1,HOSP-001,2026-01-04,8,8,4,3,1,0,0,0,53.9701,DEPT-ICU,DEPT-ICU; DEPT-DIAG; DEPT-SURG,Staff Absenteeism Rate; Patient Satisfaction Score; Patient Satisfaction Score,3,0.625,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-18BD12CE612B,HOSP-001,2026-01-05,8,8,5,3,0,0,0,0,23.16,DEPT-MED,DEPT-MED; DEPT-ICU; DEPT-SURG,Bed Occupancy Rate; Bed Occupancy Rate; Bed Occupancy Rate,3,0.6667,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-8118D9925A72,HOSP-001,2026-01-06,8,8,1,5,1,1,0,0,68.5204,DEPT-ICU,DEPT-ICU; DEPT-ED; DEPT-MED,Staffing Level; Staff Absenteeism Rate; Bed Occupancy Rate,2,0.6458,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-68C98D4904B3,HOSP-001,2026-01-07,8,8,1,0,5,0,2,0,80.6793,DEPT-ED,DEPT-ED; DEPT-OPC; DEPT-ADM,Staffing Level; Staffing Level; Staffing Level,4,0.6042,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-5F63B74350CF,HOSP-001,2026-01-08,8,8,1,2,2,1,2,0,82.2447,DEPT-DIAG,DEPT-DIAG; DEPT-ED; DEPT-ADM,Staffing Level; Staffing Level; Staffing Level,3,0.6667,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-8D9743932783,HOSP-001,2026-01-09,8,8,1,4,2,1,0,0,66.7145,DEPT-ICU,DEPT-ICU; DEPT-DIAG; DEPT-PEX,Staff Absenteeism Rate; Patient Complaint Rate; Staffing Level,3,0.6875,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-E876B8F7F13D,HOSP-001,2026-01-10,8,8,0,7,1,0,0,0,37.663,DEPT-ICU,DEPT-ICU; DEPT-SURG; DEPT-PEX,Bed Occupancy Rate; Bed Occupancy Rate; Staff Absenteeism Rate,2,0.6667,Prompt Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
HRS-B7B280268DA2,HOSP-001,2026-01-11,8,8,1,4,2,1,0,0,70.2514,DEPT-PEX,DEPT-PEX; DEPT-ADM; DEPT-ICU,Staffing Level; Staffing Level; Bed Occupancy Rate,2,0.6042,Immediate Review,Generated,RISKPRIOR-20260728062026,2026-07-28T06:21:49.599421
