relationship_record_id,relationship_id,hospital_id,department_id,analysis_period_start,analysis_period_end,source_kpi_id,source_kpi_name,target_kpi_id,target_kpi_name,paired_observation_count,adversity_correlation,adversity_relationship_direction,adversity_relationship_strength,engine_run_id,processed_at,confidence_level
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,365,0.6971,Positive,Strong,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,307,0.0605,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,307,0.0243,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ADM,2026-01-01,2026-12-31,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,365,0.6306,Positive,Strong,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0,,Insufficient Evidence,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:36:50.467368,Insufficient Evidence
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,365,0.1573,None Detected,Weak,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-DIAG,2026-01-01,2026-12-31,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,327,0.0167,None Detected,No Relationship,RELCF-20260728043649,2026-07-28T04:36:50.467368,High
