watch_record_id,integration_record_id,hospital_id,department_id,reporting_date,kpi_id,trend_direction,operational_trend_interpretation,trend_confidence,sustained_movement_flag,statistical_signal_flag,source_trend_record_id,engine_run_id,processed_at
WCH-90B9B0409F7345C2,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260101,HOSP-001,DEPT-ADM,2026-01-01,kpi_001,,Insufficient Evidence,,False,False,,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-22E1C2AC41A045A1,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260102,HOSP-001,DEPT-ADM,2026-01-02,kpi_001,,Insufficient Evidence,,False,False,,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-3E2EDA79931E412A,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260103,HOSP-001,DEPT-ADM,2026-01-03,kpi_001,,Insufficient Evidence,,True,False,,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-A1B550E3B1444BFB,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260104,HOSP-001,DEPT-ADM,2026-01-04,kpi_001,,Insufficient Evidence,,True,False,,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0CBB88199AC34F2B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260105,HOSP-001,DEPT-ADM,2026-01-05,kpi_001,,Insufficient Evidence,,True,False,,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0031464F54894A82,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260106,HOSP-001,DEPT-ADM,2026-01-06,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260106-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-93E7E0B206084D0B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260107,HOSP-001,DEPT-ADM,2026-01-07,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260107-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-7D5F3A4292C04DF6,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,HOSP-001,DEPT-ADM,2026-01-08,kpi_001,Sustained Decrease,Deteriorating,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260108-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-240C452364874236,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260109,HOSP-001,DEPT-ADM,2026-01-09,kpi_001,Sustained Decrease,Deteriorating,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260109-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-CBE49B7212A7426A,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260110,HOSP-001,DEPT-ADM,2026-01-10,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260110-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-708C9A80AD314BF2,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260111,HOSP-001,DEPT-ADM,2026-01-11,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260111-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-B068E863C0A247E7,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260112,HOSP-001,DEPT-ADM,2026-01-12,kpi_001,Sustained Decrease,Deteriorating,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260112-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-511760EC3B914A2F,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260113,HOSP-001,DEPT-ADM,2026-01-13,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260113-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-70C6361BA5EE4EFF,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260114,HOSP-001,DEPT-ADM,2026-01-14,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260114-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-79E84804726A4643,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260115,HOSP-001,DEPT-ADM,2026-01-15,kpi_001,Sustained Increase,Improving,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260115-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-47A35661A8EF4F9E,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,HOSP-001,DEPT-ADM,2026-01-16,kpi_001,Sustained Decrease,Deteriorating,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260116-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-B3832736534542B0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260117,HOSP-001,DEPT-ADM,2026-01-17,kpi_001,Sustained Decrease,Deteriorating,Medium,False,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260117-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-AAB3CCA3502448B9,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260118,HOSP-001,DEPT-ADM,2026-01-18,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260118-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0AF98276E6BE4AB0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260119,HOSP-001,DEPT-ADM,2026-01-19,kpi_001,Sustained Increase,Improving,Medium,True,True,TSIG-kpi_001-HOSP-001-DEPT-ADM-20260119-trend_slope,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
