lag_record_id,relationship_id,hospital_id,department_id,source_kpi_id,source_kpi_name,target_kpi_id,target_kpi_name,best_supported_lag,lag_unit,lagged_correlation,lagged_observation_count,reverse_lagged_correlation,temporal_precedence_rate,reverse_temporal_precedence_rate,temporal_interpretation,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,0,days,-0.6971,365,-0.6971,0.253,0.3494,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,0,days,,0,,0.4896,0.4375,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.5333,0.4095,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ADM,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,days,,0,,,,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ADM,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,days,,0,,,,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ADM,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ADM,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0,days,,0,,,,Insufficient Evidence,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-ADM,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-ADM,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-DIAG,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,0,days,-0.6306,365,-0.6306,0.2105,0.4035,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-DIAG,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-DIAG,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,1,days,-0.2183,364,-0.1525,0.3667,0.4603,No Temporal Pattern,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-DIAG,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0,days,,0,,0.1923,0.6264,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-DIAG,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,0,days,,0,,0.5347,0.3267,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,1,days,0.1373,364,0.1054,0.4532,0.375,No Temporal Pattern,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0,days,,0,,0.2899,0.5652,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-DIAG,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.6179,0.2683,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-DIAG,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-DIAG,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-DIAG,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-DIAG,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0,days,,0,,0.2139,0.5936,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_004-kpi_006,kpi_004_kpi_006,HOSP-001,DEPT-DIAG,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,0,days,,0,,0.5566,0.283,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-DIAG-kpi_005-kpi_006,kpi_005_kpi_006,HOSP-001,DEPT-DIAG,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.7299,0.1552,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ED,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,0,days,-0.7068,365,-0.7068,0.2979,0.2979,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ED,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ED,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,1,days,-0.1976,364,-0.148,0.3772,0.4211,No Temporal Pattern,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ED,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,0,days,,0,,0.6517,0.2584,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ED,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,0,days,,0,,0.5189,0.3774,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ED,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,0,days,,0,,1.0,0.0,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ED,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,1,days,0.3314,364,0.2897,0.3364,0.3832,No Temporal Pattern,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ED,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,0,days,,0,,0.6517,0.2584,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ED,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.5049,0.3592,Same-Period Association,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ED,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_005,kpi_003_kpi_005,HOSP-001,DEPT-ED,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_003-kpi_006,kpi_003_kpi_006,HOSP-001,DEPT-ED,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,0,days,,0,,0.0,1.0,Target Frequently Precedes Source,RELCF-20260728043649,2026-07-28T04:37:23.836220
RELCF-20260728043649-HOSP-001-DEPT-ED-kpi_004-kpi_005,kpi_004_kpi_005,HOSP-001,DEPT-ED,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,0,days,,0,,0.6517,0.2022,Source Frequently Precedes Target,RELCF-20260728043649,2026-07-28T04:37:23.836220
