relationship_record_id,relationship_id,hospital_id,department_id,source_kpi_id,target_kpi_id,possible_observation_count,paired_observation_count,paired_availability_rate,direction_agreement_rate,both_assessable_count,both_green_count,either_amber_count,both_amber_or_worse_count,either_red_or_worse_count,both_red_or_worse_count,adverse_cooccurrence_rate,conditional_adverse_rate,reverse_conditional_adverse_rate,trend_agreement_rate,both_deteriorating_count,opposing_trend_count,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ADM,kpi_001,kpi_002,365,365,1.0,0.1923,365,282,58,33,41,9,0.0904,0.6111,0.5323,0.4406,541,313,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ADM,kpi_001,kpi_003,365,0,0.0,,365,0,34,0,20,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ADM,kpi_001,kpi_004,365,0,0.0,,365,0,34,0,20,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ADM,kpi_001,kpi_005,365,0,0.0,,365,0,34,0,20,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ADM,kpi_001,kpi_006,365,307,0.8411,0.3987,365,220,51,7,47,3,0.0192,0.1296,0.1429,0.3735,306,469,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ADM,kpi_002,kpi_003,365,0,0.0,,365,0,32,0,30,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ADM,kpi_002,kpi_004,365,0,0.0,,365,0,32,0,30,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ADM,kpi_002,kpi_005,365,0,0.0,,365,0,32,0,30,0,0.0,0.0,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ADM,kpi_002,kpi_006,365,307,0.8411,0.3987,365,215,51,6,58,2,0.0164,0.0968,0.1224,0.3708,287,488,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ADM,kpi_003,kpi_004,365,0,0.0,,365,0,0,0,0,0,0.0,,,,0,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
