relationship_record_id,relationship_id,hospital_id,department_id,source_kpi_id,target_kpi_id,trend_agreement_rate,opposing_trend_count,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_002,kpi_001_kpi_002,HOSP-001,DEPT-ADM,kpi_001,kpi_002,0.4406,313,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_003,kpi_001_kpi_003,HOSP-001,DEPT-ADM,kpi_001,kpi_003,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_004,kpi_001_kpi_004,HOSP-001,DEPT-ADM,kpi_001,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_005,kpi_001_kpi_005,HOSP-001,DEPT-ADM,kpi_001,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_006,kpi_001_kpi_006,HOSP-001,DEPT-ADM,kpi_001,kpi_006,0.3735,469,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_003,kpi_002_kpi_003,HOSP-001,DEPT-ADM,kpi_002,kpi_003,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_004,kpi_002_kpi_004,HOSP-001,DEPT-ADM,kpi_002,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_005,kpi_002_kpi_005,HOSP-001,DEPT-ADM,kpi_002,kpi_005,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_006,kpi_002_kpi_006,HOSP-001,DEPT-ADM,kpi_002,kpi_006,0.3708,488,RELCF-20260728043649,2026-07-28T04:36:50.467368
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_004,kpi_003_kpi_004,HOSP-001,DEPT-ADM,kpi_003,kpi_004,,0,RELCF-20260728043649,2026-07-28T04:36:50.467368
