summary_record_id,hospital_id,department_id,reporting_date,kpi_count,calculated_kpi_count,green_count,amber_count,red_count,critical_capacity_pressure_count,low_utilisation_count,watch_condition_count,high_watch_count,critical_watch_count,provisional_watch_count,unavailable_count,max_observed_watch_severity,summary_status,engine_run_id,processed_at
SUM-1FEDCC7D3FE449BE,HOSP-001,DEPT-ADM,2026-01-01,6,3,2,1,0,0,0,2,0,0,2,3,Moderate,Complete,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
SUM-56E303E7ED3D496F,HOSP-001,DEPT-ADM,2026-01-02,6,3,3,0,0,0,0,1,0,0,1,3,Low,Complete,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
SUM-D15CEC0F55A34024,HOSP-001,DEPT-ADM,2026-01-03,6,3,3,0,0,0,0,1,0,0,1,3,Low,Complete,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
SUM-C6FDFF4A92F84DFE,HOSP-001,DEPT-ADM,2026-01-04,6,3,3,0,0,0,0,1,0,0,1,3,Low,Complete,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
SUM-C0A7A99E3B2A44D0,HOSP-001,DEPT-ADM,2026-01-05,6,3,3,0,0,0,0,1,0,0,1,3,Low,Complete,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
SUM-BA6AFC7BCDD44ED1,HOSP-001,DEPT-ADM,2026-01-06,6,3,3,0,0,0,0,1,0,0,1,3,Low,Complete,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
SUM-8912EEC56EBA42FD,HOSP-001,DEPT-ADM,2026-01-07,6,2,1,1,0,0,0,2,0,0,2,4,Moderate,Complete,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
SUM-412F1CBCBA1848B4,HOSP-001,DEPT-ADM,2026-01-08,6,3,2,1,0,0,0,3,1,0,3,3,High,Complete,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
SUM-8AC7FD2BCA344AE5,HOSP-001,DEPT-ADM,2026-01-09,6,3,3,0,0,0,0,3,0,0,3,3,Moderate,Complete,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
SUM-32B067647D4C49AB,HOSP-001,DEPT-ADM,2026-01-10,6,3,3,0,0,0,0,2,0,0,2,3,Moderate,Complete,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
