watch_record_id,integration_record_id,hospital_id,department_id,reporting_date,kpi_id,evidence_record_id,source_kpi_record_id,source_threshold_record_id,engine_run_id,processed_at
WCH-90B9B0409F7345C2,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260101,HOSP-001,DEPT-ADM,2026-01-01,kpi_001,EVD-8D1782C9AB114C21,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260101,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-22E1C2AC41A045A1,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260102,HOSP-001,DEPT-ADM,2026-01-02,kpi_001,EVD-02C309A5D1954336,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260102,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-3E2EDA79931E412A,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260103,HOSP-001,DEPT-ADM,2026-01-03,kpi_001,EVD-D4D46D7F72B244E4,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260103,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-A1B550E3B1444BFB,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260104,HOSP-001,DEPT-ADM,2026-01-04,kpi_001,EVD-638523E805484162,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260104,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0CBB88199AC34F2B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260105,HOSP-001,DEPT-ADM,2026-01-05,kpi_001,EVD-25AF4C6B07164CDB,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260105,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0031464F54894A82,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260106,HOSP-001,DEPT-ADM,2026-01-06,kpi_001,EVD-5CCD835CF8DC4F7F,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260106,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-93E7E0B206084D0B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260107,HOSP-001,DEPT-ADM,2026-01-07,kpi_001,EVD-269E7D0B14D2492F,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260107,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-7D5F3A4292C04DF6,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,HOSP-001,DEPT-ADM,2026-01-08,kpi_001,EVD-6BDC0EE6DF1749E3,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-240C452364874236,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260109,HOSP-001,DEPT-ADM,2026-01-09,kpi_001,EVD-935B1CD507314890,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260109,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-CBE49B7212A7426A,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260110,HOSP-001,DEPT-ADM,2026-01-10,kpi_001,EVD-F87626222FF940AC,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260110,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-708C9A80AD314BF2,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260111,HOSP-001,DEPT-ADM,2026-01-11,kpi_001,EVD-A38F3EC53E984D50,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260111,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-B068E863C0A247E7,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260112,HOSP-001,DEPT-ADM,2026-01-12,kpi_001,EVD-CDC9D2718D264364,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260112,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-511760EC3B914A2F,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260113,HOSP-001,DEPT-ADM,2026-01-13,kpi_001,EVD-E6A7E957525045CA,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260113,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-70C6361BA5EE4EFF,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260114,HOSP-001,DEPT-ADM,2026-01-14,kpi_001,EVD-89F563A8C10940B0,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260114,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-79E84804726A4643,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260115,HOSP-001,DEPT-ADM,2026-01-15,kpi_001,EVD-2F8A032D518E4E9D,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260115,DEC-001,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
