watch_record_id,integration_record_id,hospital_id,department_id,reporting_date,kpi_id,lineage_record_id,threshold_version,threshold_source,approval_status,engine_run_id,processed_at
WCH-90B9B0409F7345C2,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260101,HOSP-001,DEPT-ADM,2026-01-01,kpi_001,LIN-8CAFEDEE97284996,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-22E1C2AC41A045A1,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260102,HOSP-001,DEPT-ADM,2026-01-02,kpi_001,LIN-A0BB56CFF06043AD,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-3E2EDA79931E412A,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260103,HOSP-001,DEPT-ADM,2026-01-03,kpi_001,LIN-3E5351BAA0344E7A,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-A1B550E3B1444BFB,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260104,HOSP-001,DEPT-ADM,2026-01-04,kpi_001,LIN-D3FE43E8EE094E01,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0CBB88199AC34F2B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260105,HOSP-001,DEPT-ADM,2026-01-05,kpi_001,LIN-ED0B40B2E5294DC0,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0031464F54894A82,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260106,HOSP-001,DEPT-ADM,2026-01-06,kpi_001,LIN-922B45C2960A4ECC,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-93E7E0B206084D0B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260107,HOSP-001,DEPT-ADM,2026-01-07,kpi_001,LIN-4E8E132413A94B13,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-7D5F3A4292C04DF6,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,HOSP-001,DEPT-ADM,2026-01-08,kpi_001,LIN-DA59C961F98D46AA,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-240C452364874236,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260109,HOSP-001,DEPT-ADM,2026-01-09,kpi_001,LIN-1ABEE23ED34D499D,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-CBE49B7212A7426A,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260110,HOSP-001,DEPT-ADM,2026-01-10,kpi_001,LIN-62E57FC7004B49F1,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-708C9A80AD314BF2,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260111,HOSP-001,DEPT-ADM,2026-01-11,kpi_001,LIN-CF587DA3C82F49E0,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-B068E863C0A247E7,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260112,HOSP-001,DEPT-ADM,2026-01-12,kpi_001,LIN-0B82EFF668394309,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-511760EC3B914A2F,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260113,HOSP-001,DEPT-ADM,2026-01-13,kpi_001,LIN-04D2BB33C0D741EB,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-70C6361BA5EE4EFF,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260114,HOSP-001,DEPT-ADM,2026-01-14,kpi_001,LIN-8A310EAAAB5D496E,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-79E84804726A4643,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260115,HOSP-001,DEPT-ADM,2026-01-15,kpi_001,LIN-A40B8D4AB20A4566,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-47A35661A8EF4F9E,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,HOSP-001,DEPT-ADM,2026-01-16,kpi_001,LIN-6F02FF8DE835426E,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-B3832736534542B0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260117,HOSP-001,DEPT-ADM,2026-01-17,kpi_001,LIN-C7F3BD849EEB42B4,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-AAB3CCA3502448B9,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260118,HOSP-001,DEPT-ADM,2026-01-18,kpi_001,LIN-1537FD033C034C5D,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0AF98276E6BE4AB0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260119,HOSP-001,DEPT-ADM,2026-01-19,kpi_001,LIN-B0604DB2040049B9,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-884AD04D24C04F44,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260120,HOSP-001,DEPT-ADM,2026-01-20,kpi_001,LIN-25B5658EF2FC4CB5,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-E7D1C9F669C54845,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260121,HOSP-001,DEPT-ADM,2026-01-21,kpi_001,LIN-4CCF1A2D91274D14,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-A8ECFA12EBB6489B,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260122,HOSP-001,DEPT-ADM,2026-01-22,kpi_001,LIN-5ACB344559F24BF6,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-FF2341BB027B489C,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260123,HOSP-001,DEPT-ADM,2026-01-23,kpi_001,LIN-978BFCFF33EB424C,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-FC059604A38F43B6,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260124,HOSP-001,DEPT-ADM,2026-01-24,kpi_001,LIN-DF8E835613CC4396,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-BA368A20A0AB48D0,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260125,HOSP-001,DEPT-ADM,2026-01-25,kpi_001,LIN-49BC8D8A618E4017,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-8C7EE8B231624D64,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260126,HOSP-001,DEPT-ADM,2026-01-26,kpi_001,LIN-B9EDBB49C5214BB4,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-8C83A282D3C54BBF,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260127,HOSP-001,DEPT-ADM,2026-01-27,kpi_001,LIN-EBCD4624E2EE4C0A,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-1D8429A90E0648D7,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260128,HOSP-001,DEPT-ADM,2026-01-28,kpi_001,LIN-7BF12E52252C4646,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-0349C98A42AA4DCA,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260129,HOSP-001,DEPT-ADM,2026-01-29,kpi_001,LIN-1B4682E67A0C44CD,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
WCH-E6E4D25734344BF5,IKPI-kpi_001-HOSP-001-DEPT-ADM-20260130,HOSP-001,DEPT-ADM,2026-01-30,kpi_001,LIN-74155AEFB8384D59,v1.0-draft,config/kpi_threshold_config.csv,Approved,THWATCH-C46AF317C3EA44A8,2026-07-27T21:39:06.778860
