analytical_record_id,kpi_id,evidence_type,source_dataset,source_field,source_value,evidence_role,source_record_id,calculation_run_id
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260101,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260101,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260101,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260101,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260101,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260101,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,4.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260101,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260101,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,1.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260101,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260101,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260101,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260102,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260102,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260102,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260102,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260102,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260102,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,3.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260102,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260102,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,1.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260102,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260102,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260102,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260103,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260103,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260103,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260103,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260103,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260103,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,4.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260103,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260103,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,1.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260103,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260103,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260103,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260104,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260104,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260104,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260104,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260104,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260104,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,7.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260104,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260104,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,2.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260104,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260104,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260104,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260105,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260105,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260105,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260105,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260105,kpi_005,multiplier,config/kpi_definition_config.csv,formula,1000.0,per_1000_multiplier,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260105,kpi_006,numerator,processed_operational_daily.csv,survey_score_weighted_sum,7.0,weighted_score_numerator,OPD-HOSP-001-DEPT-ADM-20260105,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260105,kpi_006,denominator,processed_operational_daily.csv,survey_valid_score_record_count,2.0,valid_response_denominator,OPD-HOSP-001-DEPT-ADM-20260105,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260105,kpi_006,scale,config/kpi_definition_config.csv,unit,1-5,score_scale,,PEX-KPI-DCF120177644
AKPI-kpi_006-HOSP-001-DEPT-ADM-20260105,kpi_006,weighting_method,config/kpi_definition_config.csv,formula,weighted_sum / valid_response_count,response_weighting,,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260106,kpi_005,numerator,processed_operational_daily.csv,complaint_valid_record_count,,valid_complaint_count,OPD-HOSP-001-DEPT-ADM-20260106,PEX-KPI-DCF120177644
AKPI-kpi_005-HOSP-001-DEPT-ADM-20260106,kpi_005,denominator,processed_operational_daily.csv,encounter_record_count,0.0,exposure_denominator,OPD-HOSP-001-DEPT-ADM-20260106,PEX-KPI-DCF120177644
