lineage_id,analytical_record_id,kpi_id,source_dataset,source_record_id,transformation_name,calculation_run_id,created_at
LIN-AKPI-kpi_005-HOSP-001-DEPT-ADM-20260101-001,AKPI-kpi_005-HOSP-001-DEPT-ADM-20260101,kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260101,calculate_kpi_005,PEX-KPI-DCF120177644,2026-07-27T14:43:24.881086
LIN-AKPI-kpi_005-HOSP-001-DEPT-ADM-20260101-002,AKPI-kpi_005-HOSP-001-DEPT-ADM-20260101,kpi_005,processed_patient_complaints.csv,,validate_complaint_eligibility,PEX-KPI-DCF120177644,2026-07-27T14:43:24.881102
LIN-AKPI-kpi_006-HOSP-001-DEPT-ADM-20260101-001,AKPI-kpi_006-HOSP-001-DEPT-ADM-20260101,kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260101,calculate_kpi_006,PEX-KPI-DCF120177644,2026-07-27T14:43:24.884771
LIN-AKPI-kpi_006-HOSP-001-DEPT-ADM-20260101-002,AKPI-kpi_006-HOSP-001-DEPT-ADM-20260101,kpi_006,processed_patient_surveys.csv,,validate_survey_eligibility,PEX-KPI-DCF120177644,2026-07-27T14:43:24.884776
LIN-AKPI-kpi_005-HOSP-001-DEPT-ADM-20260102-001,AKPI-kpi_005-HOSP-001-DEPT-ADM-20260102,kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260102,calculate_kpi_005,PEX-KPI-DCF120177644,2026-07-27T14:43:24.886680
LIN-AKPI-kpi_005-HOSP-001-DEPT-ADM-20260102-002,AKPI-kpi_005-HOSP-001-DEPT-ADM-20260102,kpi_005,processed_patient_complaints.csv,,validate_complaint_eligibility,PEX-KPI-DCF120177644,2026-07-27T14:43:24.886684
LIN-AKPI-kpi_006-HOSP-001-DEPT-ADM-20260102-001,AKPI-kpi_006-HOSP-001-DEPT-ADM-20260102,kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260102,calculate_kpi_006,PEX-KPI-DCF120177644,2026-07-27T14:43:24.892704
LIN-AKPI-kpi_006-HOSP-001-DEPT-ADM-20260102-002,AKPI-kpi_006-HOSP-001-DEPT-ADM-20260102,kpi_006,processed_patient_surveys.csv,,validate_survey_eligibility,PEX-KPI-DCF120177644,2026-07-27T14:43:24.892711
LIN-AKPI-kpi_005-HOSP-001-DEPT-ADM-20260103-001,AKPI-kpi_005-HOSP-001-DEPT-ADM-20260103,kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260103,calculate_kpi_005,PEX-KPI-DCF120177644,2026-07-27T14:43:24.894537
LIN-AKPI-kpi_005-HOSP-001-DEPT-ADM-20260103-002,AKPI-kpi_005-HOSP-001-DEPT-ADM-20260103,kpi_005,processed_patient_complaints.csv,,validate_complaint_eligibility,PEX-KPI-DCF120177644,2026-07-27T14:43:24.894541
