analytical_record_id,hospital_id,department_id,reporting_date,reporting_month,reporting_year,kpi_id,kpi_name,domain,numerator_value,denominator_value,kpi_value,unit,calculation_status,readiness_status,threshold_status,threshold_version,threshold_approval_status,threshold_is_provisional,configuration_version,data_confidence_level,confidence_rule_version,source_dataset,source_record_id,calculation_run_id,calculated_at
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260101,HOSP-001,DEPT-ADM,2026-01-01,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.578836
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260102,HOSP-001,DEPT-ADM,2026-01-02,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.580958
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260103,HOSP-001,DEPT-ADM,2026-01-03,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.582096
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260104,HOSP-001,DEPT-ADM,2026-01-04,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.583129
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260105,HOSP-001,DEPT-ADM,2026-01-05,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.584382
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260106,HOSP-001,DEPT-ADM,2026-01-06,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.585431
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260107,HOSP-001,DEPT-ADM,2026-01-07,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.586441
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260108,HOSP-001,DEPT-ADM,2026-01-08,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.588109
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260109,HOSP-001,DEPT-ADM,2026-01-09,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.589631
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260110,HOSP-001,DEPT-ADM,2026-01-10,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.590931
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260111,HOSP-001,DEPT-ADM,2026-01-11,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.591961
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260112,HOSP-001,DEPT-ADM,2026-01-12,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.593033
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260113,HOSP-001,DEPT-ADM,2026-01-13,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.593972
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260114,HOSP-001,DEPT-ADM,2026-01-14,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.594961
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260115,HOSP-001,DEPT-ADM,2026-01-15,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.595888
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260116,HOSP-001,DEPT-ADM,2026-01-16,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.596838
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260117,HOSP-001,DEPT-ADM,2026-01-17,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.597776
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260118,HOSP-001,DEPT-ADM,2026-01-18,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.598692
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260119,HOSP-001,DEPT-ADM,2026-01-19,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.599668
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260120,HOSP-001,DEPT-ADM,2026-01-20,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.600874
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260121,HOSP-001,DEPT-ADM,2026-01-21,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.601899
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260122,HOSP-001,DEPT-ADM,2026-01-22,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.602891
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260123,HOSP-001,DEPT-ADM,2026-01-23,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.603905
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260124,HOSP-001,DEPT-ADM,2026-01-24,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.606414
AKPI-kpi_003-HOSP-001-DEPT-ADM-20260125,HOSP-001,DEPT-ADM,2026-01-25,1,2026,kpi_003,Bed Occupancy Rate,Patient Flow,,,,Percent,Insufficient Data,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,Unavailable,v1.0-draft,processed_operational_daily,,PF-KPI-4E7933DFEF21,2026-07-27T11:23:03.608153
