analytical_record_id,kpi_id,source_dataset,source_record_id,calculation_run_id,evidence_type,source_field,source_value,evidence_role
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260101,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,15.0,numerator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260101,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,denominator,operational_beds,19.0,denominator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260102,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,20.0,numerator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260102,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,denominator,operational_beds,22.0,denominator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260103,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,16.0,numerator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260103,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,denominator,operational_beds,20.0,denominator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260104,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,16.0,numerator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260104,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,denominator,operational_beds,21.0,denominator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260105,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,16.0,numerator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260105,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,denominator,operational_beds,21.0,denominator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260106,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,18.0,numerator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260106,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,denominator,operational_beds,22.0,denominator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260107,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,15.0,numerator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260107,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,denominator,operational_beds,20.0,denominator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260108,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,16.0,numerator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260108,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,denominator,operational_beds,21.0,denominator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260109,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,15.0,numerator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260109,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,denominator,operational_beds,20.0,denominator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260110,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,15.0,numerator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260110,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,denominator,operational_beds,21.0,denominator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260111,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,16.0,numerator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260111,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,denominator,operational_beds,20.0,denominator
AKPI-kpi_003-HOSP-001-DEPT-ICU-20260112,kpi_003,processed_operational_daily,,PF-KPI-4E7933DFEF21,numerator,occupied_beds,18.0,numerator
