exclusion_id,kpi_id,hospital_id,department_id,reporting_date,reason_code,reason_description,source_record_id,calculation_run_id
EXC-502ACED6,kpi_003,HOSP-001,DEPT-ADM,2026-01-01,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260101,PF-KPI-4E7933DFEF21
EXC-6C96B783,kpi_003,HOSP-001,DEPT-ADM,2026-01-02,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260102,PF-KPI-4E7933DFEF21
EXC-8FE8B416,kpi_003,HOSP-001,DEPT-ADM,2026-01-03,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260103,PF-KPI-4E7933DFEF21
EXC-53C5EDF9,kpi_003,HOSP-001,DEPT-ADM,2026-01-04,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260104,PF-KPI-4E7933DFEF21
EXC-6CD5E2C6,kpi_003,HOSP-001,DEPT-ADM,2026-01-05,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260105,PF-KPI-4E7933DFEF21
EXC-711DEB3D,kpi_003,HOSP-001,DEPT-ADM,2026-01-06,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260106,PF-KPI-4E7933DFEF21
EXC-1425C2FC,kpi_003,HOSP-001,DEPT-ADM,2026-01-07,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260107,PF-KPI-4E7933DFEF21
EXC-0877EFFC,kpi_003,HOSP-001,DEPT-ADM,2026-01-08,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260108,PF-KPI-4E7933DFEF21
EXC-F08D1603,kpi_003,HOSP-001,DEPT-ADM,2026-01-09,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260109,PF-KPI-4E7933DFEF21
EXC-0A729939,kpi_003,HOSP-001,DEPT-ADM,2026-01-10,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260110,PF-KPI-4E7933DFEF21
EXC-88E35C5A,kpi_003,HOSP-001,DEPT-ADM,2026-01-11,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260111,PF-KPI-4E7933DFEF21
EXC-7F1C4E5D,kpi_003,HOSP-001,DEPT-ADM,2026-01-12,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260112,PF-KPI-4E7933DFEF21
EXC-683F15BC,kpi_003,HOSP-001,DEPT-ADM,2026-01-13,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260113,PF-KPI-4E7933DFEF21
EXC-FD847227,kpi_003,HOSP-001,DEPT-ADM,2026-01-14,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260114,PF-KPI-4E7933DFEF21
EXC-930D914B,kpi_003,HOSP-001,DEPT-ADM,2026-01-15,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260115,PF-KPI-4E7933DFEF21
EXC-6A3EF701,kpi_003,HOSP-001,DEPT-ADM,2026-01-16,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260116,PF-KPI-4E7933DFEF21
EXC-373EA43A,kpi_003,HOSP-001,DEPT-ADM,2026-01-17,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260117,PF-KPI-4E7933DFEF21
EXC-E7009983,kpi_003,HOSP-001,DEPT-ADM,2026-01-18,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260118,PF-KPI-4E7933DFEF21
EXC-CB178CB4,kpi_003,HOSP-001,DEPT-ADM,2026-01-19,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260119,PF-KPI-4E7933DFEF21
EXC-3D9AE542,kpi_003,HOSP-001,DEPT-ADM,2026-01-20,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260120,PF-KPI-4E7933DFEF21
EXC-3C3A8755,kpi_003,HOSP-001,DEPT-ADM,2026-01-21,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260121,PF-KPI-4E7933DFEF21
EXC-071BF005,kpi_003,HOSP-001,DEPT-ADM,2026-01-22,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260122,PF-KPI-4E7933DFEF21
EXC-125DE6F5,kpi_003,HOSP-001,DEPT-ADM,2026-01-23,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260123,PF-KPI-4E7933DFEF21
EXC-6425F1B7,kpi_003,HOSP-001,DEPT-ADM,2026-01-24,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260124,PF-KPI-4E7933DFEF21
EXC-919251EE,kpi_003,HOSP-001,DEPT-ADM,2026-01-25,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260125,PF-KPI-4E7933DFEF21
EXC-BA48EF74,kpi_003,HOSP-001,DEPT-ADM,2026-01-26,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260126,PF-KPI-4E7933DFEF21
EXC-243D5C68,kpi_003,HOSP-001,DEPT-ADM,2026-01-27,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260127,PF-KPI-4E7933DFEF21
EXC-03F13AED,kpi_003,HOSP-001,DEPT-ADM,2026-01-28,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260128,PF-KPI-4E7933DFEF21
EXC-14CF3BEC,kpi_003,HOSP-001,DEPT-ADM,2026-01-29,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260129,PF-KPI-4E7933DFEF21
EXC-F6A01513,kpi_003,HOSP-001,DEPT-ADM,2026-01-30,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260130,PF-KPI-4E7933DFEF21
EXC-D7A1B02C,kpi_003,HOSP-001,DEPT-ADM,2026-01-31,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260131,PF-KPI-4E7933DFEF21
EXC-889ABB14,kpi_003,HOSP-001,DEPT-ADM,2026-02-01,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260201,PF-KPI-4E7933DFEF21
EXC-32EEDA01,kpi_003,HOSP-001,DEPT-ADM,2026-02-02,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260202,PF-KPI-4E7933DFEF21
EXC-DFC2B2D0,kpi_003,HOSP-001,DEPT-ADM,2026-02-03,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260203,PF-KPI-4E7933DFEF21
EXC-681E7662,kpi_003,HOSP-001,DEPT-ADM,2026-02-04,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260204,PF-KPI-4E7933DFEF21
EXC-C0824FC9,kpi_003,HOSP-001,DEPT-ADM,2026-02-05,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260205,PF-KPI-4E7933DFEF21
EXC-6D1B0F11,kpi_003,HOSP-001,DEPT-ADM,2026-02-06,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260206,PF-KPI-4E7933DFEF21
EXC-CDA0FC68,kpi_003,HOSP-001,DEPT-ADM,2026-02-07,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260207,PF-KPI-4E7933DFEF21
EXC-E9E5BDFF,kpi_003,HOSP-001,DEPT-ADM,2026-02-08,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260208,PF-KPI-4E7933DFEF21
EXC-1522A2D5,kpi_003,HOSP-001,DEPT-ADM,2026-02-09,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260209,PF-KPI-4E7933DFEF21
EXC-69191F7A,kpi_003,HOSP-001,DEPT-ADM,2026-02-10,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260210,PF-KPI-4E7933DFEF21
EXC-B9580CCC,kpi_003,HOSP-001,DEPT-ADM,2026-02-11,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260211,PF-KPI-4E7933DFEF21
EXC-426B5E63,kpi_003,HOSP-001,DEPT-ADM,2026-02-12,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260212,PF-KPI-4E7933DFEF21
EXC-C3C0EFDB,kpi_003,HOSP-001,DEPT-ADM,2026-02-13,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260213,PF-KPI-4E7933DFEF21
EXC-24F3D20D,kpi_003,HOSP-001,DEPT-ADM,2026-02-14,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260214,PF-KPI-4E7933DFEF21
EXC-FA0D5941,kpi_003,HOSP-001,DEPT-ADM,2026-02-15,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260215,PF-KPI-4E7933DFEF21
EXC-B889242E,kpi_003,HOSP-001,DEPT-ADM,2026-02-16,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260216,PF-KPI-4E7933DFEF21
EXC-388E5F7D,kpi_003,HOSP-001,DEPT-ADM,2026-02-17,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260217,PF-KPI-4E7933DFEF21
EXC-AA36FBB9,kpi_003,HOSP-001,DEPT-ADM,2026-02-18,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260218,PF-KPI-4E7933DFEF21
EXC-2D16CEF8,kpi_003,HOSP-001,DEPT-ADM,2026-02-19,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260219,PF-KPI-4E7933DFEF21
EXC-4820D343,kpi_003,HOSP-001,DEPT-ADM,2026-02-20,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260220,PF-KPI-4E7933DFEF21
EXC-EE77AE26,kpi_003,HOSP-001,DEPT-ADM,2026-02-21,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260221,PF-KPI-4E7933DFEF21
EXC-38249537,kpi_003,HOSP-001,DEPT-ADM,2026-02-22,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260222,PF-KPI-4E7933DFEF21
