cf_record_id,relationship_id,source_kpi_id,target_kpi_id,contradiction_flag,contradiction_severity,contradiction_summary,engine_run_id,processed_at
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_002,kpi_001_kpi_002,kpi_001,kpi_002,True,Material,Opposite direction correlation; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_003,kpi_001_kpi_003,kpi_001,kpi_003,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_004,kpi_001_kpi_004,kpi_001,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_005,kpi_001_kpi_005,kpi_001,kpi_005,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_001-kpi_006,kpi_001_kpi_006,kpi_001,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_003,kpi_002_kpi_003,kpi_002,kpi_003,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_004,kpi_002_kpi_004,kpi_002,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_005,kpi_002_kpi_005,kpi_002,kpi_005,True,Material,Pooled direction differs from most departments; Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_002-kpi_006,kpi_002_kpi_006,kpi_002,kpi_006,True,Material,Pooled direction differs from most departments; Trends frequently move in opposite directions,RELCF-20260728043649,2026-07-28T04:37:40.621536
RELCF-20260728043649-HOSP-001-DEPT-ADM-kpi_003-kpi_004,kpi_003_kpi_004,kpi_003,kpi_004,True,Minor,Very limited observation count,RELCF-20260728043649,2026-07-28T04:37:40.621536
