relationship_edge_id,source_kpi_id,source_kpi_name,target_kpi_id,target_kpi_name,relationship_direction,relationship_strength,adversity_correlation,best_supported_lag,contributing_factor_score,contributing_factor_classification,confidence_level,provisional_relationship_flag,contradiction_flag,active_edge_flag,engine_run_id,processed_at
EDGE-RELCF-20250728043649-kpi_001_kpi_002,kpi_001,Staffing Level,kpi_002,Staff Absenteeism Rate,Positive,Supported Association,0.6899,0,36.61,Supported Association,High,False,True,True,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_001_kpi_003,kpi_001,Staffing Level,kpi_003,Bed Occupancy Rate,Positive,No Supported Relationship,0.0843,0,13.09,No Supported Relationship,High,True,True,False,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_001_kpi_004,kpi_001,Staffing Level,kpi_004,Average Patient Waiting Time,Positive,Supported Association,0.1578,0,35.01,Supported Association,High,False,True,True,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_001_kpi_005,kpi_001,Staffing Level,kpi_005,Patient Complaint Rate,Positive,No Supported Relationship,0.0425,0,14.2,No Supported Relationship,High,True,True,False,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_001_kpi_006,kpi_001,Staffing Level,kpi_006,Patient Satisfaction Score,Positive,No Supported Relationship,0.046900000000000004,0,12.82,No Supported Relationship,High,False,True,False,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_002_kpi_003,kpi_002,Staff Absenteeism Rate,kpi_003,Bed Occupancy Rate,Positive,Weak Association,0.10339999999999999,0,25.73,Weak Association,High,True,True,True,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_002_kpi_004,kpi_002,Staff Absenteeism Rate,kpi_004,Average Patient Waiting Time,Positive,Supported Association,0.209,0,36.13,Supported Association,High,False,True,True,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_002_kpi_005,kpi_002,Staff Absenteeism Rate,kpi_005,Patient Complaint Rate,Positive,No Supported Relationship,0.0268,0,11.69,No Supported Relationship,High,True,True,False,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_002_kpi_006,kpi_002,Staff Absenteeism Rate,kpi_006,Patient Satisfaction Score,Positive,No Supported Relationship,0.0547,0,13.1,No Supported Relationship,High,False,True,False,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_003_kpi_004,kpi_003,Bed Occupancy Rate,kpi_004,Average Patient Waiting Time,Negative,No Supported Relationship,0.0,0,15.41,No Supported Relationship,Insufficient Evidence,True,True,False,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_003_kpi_005,kpi_003,Bed Occupancy Rate,kpi_005,Patient Complaint Rate,Negative,No Supported Relationship,0.0,0,14.76,No Supported Relationship,Insufficient Evidence,True,True,False,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_003_kpi_006,kpi_003,Bed Occupancy Rate,kpi_006,Patient Satisfaction Score,Positive,No Supported Relationship,0.086,0,12.89,No Supported Relationship,High,True,True,False,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_004_kpi_005,kpi_004,Average Patient Waiting Time,kpi_005,Patient Complaint Rate,Positive,Weak Association,0.1709,0,31.78,Weak Association,High,True,True,True,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_004_kpi_006,kpi_004,Average Patient Waiting Time,kpi_006,Patient Satisfaction Score,Positive,Supported Association,0.2408,0,36.53,Supported Association,High,False,True,True,RELCF-20250728043649,2025-07-28T04:37:40.621536
EDGE-RELCF-20250728043649-kpi_005_kpi_006,kpi_005,Patient Complaint Rate,kpi_006,Patient Satisfaction Score,Positive,No Supported Relationship,0.035,0,10.9,No Supported Relationship,High,True,True,False,RELCF-20250728043649,2025-07-28T04:37:40.621536
