baseline_id,approval_package_id,episode_id,scenario_template_id,hospital_id,department_id,episode_start_date,episode_end_date,dominant_kpi_id,dominant_kpi_name,baseline_kpi_value,baseline_kpi_unit,supporting_kpi_values_json,baseline_required_staff,baseline_available_staff,baseline_staffing_coverage_pct,baseline_absenteeism_rate,baseline_avg_wait_min,baseline_arrivals,baseline_service_capacity,source_file_list,source_record_id_list,baseline_observation_count,baseline_data_completeness,baseline_confidence,baseline_provisional_flag,baseline_contradiction_severity,baseline_status,baseline_created_at,baseline_version,baseline_aggregation_method,baseline_reference_date,baseline_window_start,baseline_window_end
BL-868B3BEA99B84FFE,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-01-08,2026-01-08,kpi_001,Staffing Level,83.33333333333334,Percent,{},18.0,15.0,83.33333333333334,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.498201,2C-2C-1.0,episode-period mean,2026-01-08,2026-01-08,2026-01-08
BL-0F2C9FAD4B411D32,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-01-08,2026-01-08,kpi_001,Staffing Level,83.33333333333334,Percent,{},18.0,15.0,83.33333333333334,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.515418,2C-2C-1.0,episode-period mean,2026-01-08,2026-01-08,2026-01-08
BL-7248F57B557B2D88,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-01-08,2026-01-08,kpi_001,Staffing Level,83.33333333333334,Percent,{},18.0,15.0,83.33333333333334,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.535238,2C-2C-1.0,episode-period mean,2026-01-08,2026-01-08,2026-01-08
BL-FA960D624BB4A356,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-01-16,2026-01-16,kpi_001,Staffing Level,80.0,Percent,{},15.0,12.0,80.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.560459,2C-2C-1.0,episode-period mean,2026-01-16,2026-01-16,2026-01-16
BL-8967EE194089397D,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-01-16,2026-01-16,kpi_001,Staffing Level,80.0,Percent,{},15.0,12.0,80.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.581147,2C-2C-1.0,episode-period mean,2026-01-16,2026-01-16,2026-01-16
BL-39B86971C6CEAA6C,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-01-16,2026-01-16,kpi_001,Staffing Level,80.0,Percent,{},15.0,12.0,80.0,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.599775,2C-2C-1.0,episode-period mean,2026-01-16,2026-01-16,2026-01-16
BL-D6ADC7A9999608EF,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-02-09,2026-02-09,kpi_001,Staffing Level,77.77777777777779,Percent,{},18.0,14.0,77.77777777777779,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.617412,2C-2C-1.0,episode-period mean,2026-02-09,2026-02-09,2026-02-09
BL-DC41AA9F364EC81B,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,HOSP-001,DEPT-ADM,2026-02-09,2026-02-09,kpi_001,Staffing Level,77.77777777777779,Percent,{},18.0,14.0,77.77777777777779,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.645117,2C-2C-1.0,episode-period mean,2026-02-09,2026-02-09,2026-02-09
BL-70133AFA8D93E01B,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-MON-001,HOSP-001,DEPT-ADM,2026-02-09,2026-02-09,kpi_001,Staffing Level,77.77777777777779,Percent,{},18.0,14.0,77.77777777777779,,,,,analytical_workforce_kpi_daily.csv,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209,2,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.676234,2C-2C-1.0,episode-period mean,2026-02-09,2026-02-09,2026-02-09
BL-BC5DDA2FCB098382,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,SCEN-BASE-001,HOSP-001,DEPT-ADM,2026-03-28,2026-04-01,kpi_001,Staffing Level,84.55182072829132,Percent,{},16.6,14.0,84.55182072829132,,,,,analytical_workforce_kpi_daily.csv,"AKPI-kpi_001-HOSP-001-DEPT-ADM-20260328,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260329,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260330,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260331,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260401",10,50.0,High,True,No Contradiction,Available with Conditions,2026-07-28T14:58:29.716641,2C-2C-1.0,episode-period mean,2026-04-01,2026-03-28,2026-04-01
