comparison_id,scenario_run_id_a,scenario_run_id_b,comparator_a,comparator_b,approval_package_id,episode_id,scenario_template_id,incremental_primary_kpi_change,confidence_change,warning_change,comparator_relationship,evidence_basis
COMP-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,11.1111111111111,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
COMP-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-Expected-vs-Conservative,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Expected,Conservative,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,5.555555555555557,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Conservative comparator results
COMP-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-Higher Intensity-vs-Expected,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Higher Intensity,Expected,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,0.0,0,0.0,No Material Incremental Benefit,Pairwise comparison of Higher Intensity versus Expected comparator results
COMP-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-Expected-vs-Baseline,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Expected,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,16.666666666666657,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Baseline comparator results
COMP-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-Higher Intensity-vs-Baseline,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Higher Intensity,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,16.666666666666657,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Baseline comparator results
COMP-SR-BL-8967EE194089397D-COMP-CONS-001-Conservative-vs-Baseline,SR-BL-8967EE194089397D-COMP-CONS-001,SR-BL-8967EE194089397D-COMP-BASE-001,Conservative,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,13.333333333333329,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Conservative versus Baseline comparator results
COMP-SR-BL-8967EE194089397D-COMP-EXP-001-Expected-vs-Conservative,SR-BL-8967EE194089397D-COMP-EXP-001,SR-BL-8967EE194089397D-COMP-CONS-001,Expected,Conservative,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,6.666666666666671,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Conservative comparator results
COMP-SR-BL-8967EE194089397D-COMP-HIGH-001-Higher Intensity-vs-Expected,SR-BL-8967EE194089397D-COMP-HIGH-001,SR-BL-8967EE194089397D-COMP-EXP-001,Higher Intensity,Expected,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,0.0,0,0.0,No Material Incremental Benefit,Pairwise comparison of Higher Intensity versus Expected comparator results
COMP-SR-BL-8967EE194089397D-COMP-EXP-001-Expected-vs-Baseline,SR-BL-8967EE194089397D-COMP-EXP-001,SR-BL-8967EE194089397D-COMP-BASE-001,Expected,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,20.0,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Expected versus Baseline comparator results
COMP-SR-BL-8967EE194089397D-COMP-HIGH-001-Higher Intensity-vs-Baseline,SR-BL-8967EE194089397D-COMP-HIGH-001,SR-BL-8967EE194089397D-COMP-BASE-001,Higher Intensity,Baseline,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,20.0,0,0.0,Incremental Benefit with Limited Additional Risk,Pairwise comparison of Higher Intensity versus Baseline comparator results
