evidence_id,scenario_run_id,evidence_type,source_type,source_id,source_file,link_type,recorded_at,metadata_json
EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-BASE-0,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.653508,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-REC-1,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,,Contributed To,2026-07-28T14:58:57.653536,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-RECID-2,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260108-OPT1,,Approved By,2026-07-28T14:58:57.653543,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-COMP-3,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Comparator Configuration,Comparator Config,COMP-BASE-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.653548,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-PKG-4,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.653552,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-EP-5,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.653556,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-BASE-0,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.688758,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-REC-1,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,,Contributed To,2026-07-28T14:58:57.688764,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-RECID-2,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260108-OPT1,,Approved By,2026-07-28T14:58:57.688769,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-COMP-3,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Comparator Configuration,Comparator Config,COMP-CONS-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.688774,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-PKG-4,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.688779,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-EP-5,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.688783,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-BASE-0,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.692844,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-REC-1,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,,Contributed To,2026-07-28T14:58:57.692851,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-RECID-2,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260108-OPT1,,Approved By,2026-07-28T14:58:57.692858,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-COMP-3,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Comparator Configuration,Comparator Config,COMP-EXP-001,config/scenario_comparator_config.csv,Defined By,2026-07-28T14:58:57.692864,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-PKG-4,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Approval Package,Package,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1d_episode_approval_package_register.csv,Authorised By,2026-07-28T14:58:57.692870,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-EXP-001-EP-5,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Episode,Episode,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,data/scenario_inputs/step_2c1c_corrected_episode_register.csv,Based On,2026-07-28T14:58:57.692876,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-BASE-0,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Baseline,Analytical Dataset,analytical_workforce_kpi_daily.csv,analytical_workforce_kpi_daily.csv,Derived From,2026-07-28T14:58:57.699434,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-REC-1,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Source Record,Analytical Record,AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,,Contributed To,2026-07-28T14:58:57.699439,{}
EV-SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001-RECID-2,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Recommendation,Recommendation,REC-CASE-DEPT-ADM-20260108-OPT1,,Approved By,2026-07-28T14:58:57.699444,{}
