governance_id,scenario_run_id,rule_id,rule_name,rule_applied,rule_outcome,message,applied_at
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Baseline Immutability: passed,2026-07-28T14:58:57.656227
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Derived Parameter Integrity: passed,2026-07-28T14:58:57.656246
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Staff Count Range Governance: passed,2026-07-28T14:58:57.656253
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Percent Reduction Range Governance: passed,2026-07-28T14:58:57.656260
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Duration Range Governance: passed,2026-07-28T14:58:57.656265
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Fixed Reference Integrity: passed,2026-07-28T14:58:57.656269
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Fixed Boolean Integrity: passed,2026-07-28T14:58:57.656274
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Fixed Range Integrity: passed,2026-07-28T14:58:57.656279
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Fixed Multiplier Integrity: passed,2026-07-28T14:58:57.656284
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Fixed Penalty Integrity: passed,2026-07-28T14:58:57.656289
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule No High Scenario Confidence: passed,2026-07-28T14:58:57.656293
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule No Automatic Approval: passed,2026-07-28T14:58:57.656298
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule No Financial Calculation in 2C-2: passed,2026-07-28T14:58:57.656303
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Provisional Warning Preservation: passed,2026-07-28T14:58:57.656309
GOV-SR-BL-0F2C9FAD4B411D32-COMP-BASE-001-,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,,,False,Passed,Rule Reproducibility Requirement: passed,2026-07-28T14:58:57.656314
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Baseline Immutability: passed,2026-07-28T14:58:57.688801
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Derived Parameter Integrity: passed,2026-07-28T14:58:57.688805
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Staff Count Range Governance: passed,2026-07-28T14:58:57.688822
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Percent Reduction Range Governance: passed,2026-07-28T14:58:57.688825
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Duration Range Governance: passed,2026-07-28T14:58:57.688828
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Fixed Reference Integrity: passed,2026-07-28T14:58:57.688831
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Fixed Boolean Integrity: passed,2026-07-28T14:58:57.688835
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Fixed Range Integrity: passed,2026-07-28T14:58:57.688838
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Fixed Multiplier Integrity: passed,2026-07-28T14:58:57.688841
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule Fixed Penalty Integrity: passed,2026-07-28T14:58:57.688844
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule No High Scenario Confidence: passed,2026-07-28T14:58:57.688847
GOV-SR-BL-0F2C9FAD4B411D32-COMP-CONS-001-,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,,,False,Passed,Rule No Automatic Approval: passed,2026-07-28T14:58:57.688850
