scenario_run_id,primary_kpi_id,baseline_value,scenario_value,absolute_change,percentage_change,direction_of_change,affected_supporting_kpis,supporting_kpi_result_status
SR-BL-868B3BEA99B84FFE-,kpi_001,83.33333333333334,,,,Uncertain,[],
SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,kpi_001,83.33333333333334,83.33333333333334,0.0,0.0,No Change,[],
SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,kpi_001,83.33333333333334,94.44444444444444,2.0,11.1111111111111,Increase,[],
SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,kpi_001,83.33333333333334,100.0,5.0,16.666666666666657,Increase,[],
SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,kpi_001,83.33333333333334,100.0,9.0,16.666666666666657,Increase,[],
SR-BL-7248F57B557B2D88-,kpi_001,83.33333333333334,,,,Uncertain,[],
SR-BL-FA960D624BB4A356-,kpi_001,80.0,,,,Uncertain,[],
SR-BL-8967EE194089397D-COMP-BASE-001,kpi_001,80.0,80.0,0.0,0.0,No Change,[],
SR-BL-8967EE194089397D-COMP-CONS-001,kpi_001,80.0,93.33333333333333,2.0,13.333333333333329,Increase,[],
SR-BL-8967EE194089397D-COMP-EXP-001,kpi_001,80.0,100.0,5.0,20.0,Increase,[],
SR-BL-8967EE194089397D-COMP-HIGH-001,kpi_001,80.0,100.0,9.0,20.0,Increase,[],
SR-BL-39B86971C6CEAA6C-,kpi_001,80.0,,,,Uncertain,[],
SR-BL-D6ADC7A9999608EF-,kpi_001,77.77777777777779,,,,Uncertain,[],
SR-BL-DC41AA9F364EC81B-COMP-BASE-001,kpi_001,77.77777777777779,77.77777777777779,0.0,0.0,No Change,[],
SR-BL-DC41AA9F364EC81B-COMP-CONS-001,kpi_001,77.77777777777779,88.88888888888889,2.0,11.1111111111111,Increase,[],
SR-BL-DC41AA9F364EC81B-COMP-EXP-001,kpi_001,77.77777777777779,100.0,5.0,22.222222222222214,Increase,[],
SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,kpi_001,77.77777777777779,100.0,9.0,22.222222222222214,Increase,[],
SR-BL-70133AFA8D93E01B-,kpi_001,77.77777777777779,,,,Uncertain,[],
SR-BL-BC5DDA2FCB098382-,kpi_001,84.55182072829132,,,,Uncertain,[],
SR-BL-3048F5335B1741BC-COMP-BASE-001,kpi_001,84.55182072829132,84.33734939759036,0.0,-0.21447133070095958,Decrease,[],
SR-BL-3048F5335B1741BC-COMP-CONS-001,kpi_001,84.55182072829132,96.38554216867469,2.0,11.833721440383371,Increase,[],
SR-BL-3048F5335B1741BC-COMP-EXP-001,kpi_001,84.55182072829132,100.0,5.0,15.448179271708682,Increase,[],
SR-BL-3048F5335B1741BC-COMP-HIGH-001,kpi_001,84.55182072829132,100.0,9.0,15.448179271708682,Increase,[],
SR-BL-5321F55DF7C730EE-,kpi_001,84.55182072829132,,,,Uncertain,[],
SR-BL-D2B7A0571B895508-,kpi_001,83.33333333333334,,,,Uncertain,[],
SR-BL-EB935D17ADFCF500-COMP-BASE-001,kpi_001,83.33333333333334,83.33333333333334,0.0,0.0,No Change,[],
SR-BL-EB935D17ADFCF500-COMP-CONS-001,kpi_001,83.33333333333334,94.44444444444444,2.0,11.1111111111111,Increase,[],
SR-BL-EB935D17ADFCF500-COMP-EXP-001,kpi_001,83.33333333333334,100.0,5.0,16.666666666666657,Increase,[],
SR-BL-EB935D17ADFCF500-COMP-HIGH-001,kpi_001,83.33333333333334,100.0,9.0,16.666666666666657,Increase,[],
SR-BL-571A825C51EF3462-,kpi_001,83.33333333333334,,,,Uncertain,[],
SR-BL-8DA7F7613F011877-,kpi_001,78.57142857142857,,,,Uncertain,[],
SR-BL-24E8132F23E980FC-COMP-BASE-001,kpi_001,78.57142857142857,78.57142857142857,0.0,0.0,No Change,[],
SR-BL-24E8132F23E980FC-COMP-CONS-001,kpi_001,78.57142857142857,92.85714285714286,2.0,14.285714285714292,Increase,[],
SR-BL-24E8132F23E980FC-COMP-EXP-001,kpi_001,78.57142857142857,100.0,5.0,21.42857142857143,Increase,[],
SR-BL-24E8132F23E980FC-COMP-HIGH-001,kpi_001,78.57142857142857,100.0,9.0,21.42857142857143,Increase,[],
SR-BL-72CF4289682BAE79-,kpi_001,78.57142857142857,,,,Uncertain,[],
SR-BL-D514917F5CC0C9BF-,kpi_001,75.0,,,,Uncertain,[],
SR-BL-1A12AF7C3E39DADF-COMP-BASE-001,kpi_001,75.0,75.0,0.0,0.0,No Change,[],
SR-BL-1A12AF7C3E39DADF-COMP-CONS-001,kpi_001,75.0,87.5,2.0,12.5,Increase,[],
SR-BL-1A12AF7C3E39DADF-COMP-EXP-001,kpi_001,75.0,100.0,5.0,25.0,Increase,[],
SR-BL-1A12AF7C3E39DADF-COMP-HIGH-001,kpi_001,75.0,100.0,9.0,25.0,Increase,[],
SR-BL-3DC5A27AEF1C9A5C-,kpi_001,75.0,,,,Uncertain,[],
SR-BL-148CC4864432449E-,kpi_001,83.33333333333334,,,,Uncertain,[],
SR-BL-AF5E6D0F3A7F29BE-COMP-BASE-001,kpi_001,83.33333333333334,83.33333333333334,0.0,0.0,No Change,[],
SR-BL-AF5E6D0F3A7F29BE-COMP-CONS-001,kpi_001,83.33333333333334,94.44444444444444,2.0,11.1111111111111,Increase,[],
SR-BL-AF5E6D0F3A7F29BE-COMP-EXP-001,kpi_001,83.33333333333334,100.0,5.0,16.666666666666657,Increase,[],
SR-BL-AF5E6D0F3A7F29BE-COMP-HIGH-001,kpi_001,83.33333333333334,100.0,9.0,16.666666666666657,Increase,[],
SR-BL-0FA5EA53500FF719-,kpi_001,83.33333333333334,,,,Uncertain,[],
SR-BL-0307B1E90B215F96-,kpi_001,75.0,,,,Uncertain,[],
SR-BL-CAC926848EDEB1B6-COMP-BASE-001,kpi_001,75.0,75.0,0.0,0.0,No Change,[],
SR-BL-CAC926848EDEB1B6-COMP-CONS-001,kpi_001,75.0,87.5,2.0,12.5,Increase,[],
SR-BL-CAC926848EDEB1B6-COMP-EXP-001,kpi_001,75.0,100.0,5.0,25.0,Increase,[],
SR-BL-CAC926848EDEB1B6-COMP-HIGH-001,kpi_001,75.0,100.0,9.0,25.0,Increase,[],
SR-BL-D88E7695B211B03E-,kpi_001,75.0,,,,Uncertain,[],
SR-BL-97F70B36E98DB1F1-,kpi_001,64.70588235294117,,,,Uncertain,[],
SR-BL-1E49DB13E2EAA2B1-COMP-BASE-001,kpi_001,64.70588235294117,64.70588235294117,0.0,0.0,No Change,[],
SR-BL-1E49DB13E2EAA2B1-COMP-CONS-001,kpi_001,64.70588235294117,76.47058823529412,2.0,11.764705882352942,Increase,[],
SR-BL-1E49DB13E2EAA2B1-COMP-EXP-001,kpi_001,64.70588235294117,94.11764705882352,5.0,29.411764705882348,Increase,[],
SR-BL-1E49DB13E2EAA2B1-COMP-HIGH-001,kpi_001,64.70588235294117,100.0,9.0,35.294117647058826,Increase,[],
SR-BL-BB49437192EFED17-,kpi_001,64.70588235294117,,,,Uncertain,[],
SR-BL-981EE067F7E229E8-,kpi_001,72.22222222222221,,,,Uncertain,[],
SR-BL-A75EBEA50E13F73B-COMP-BASE-001,kpi_001,72.22222222222221,72.22222222222221,0.0,0.0,No Change,[],
SR-BL-A75EBEA50E13F73B-COMP-CONS-001,kpi_001,72.22222222222221,83.33333333333334,2.0,11.111111111111128,Increase,[],
SR-BL-A75EBEA50E13F73B-COMP-EXP-001,kpi_001,72.22222222222221,100.0,5.0,27.777777777777786,Increase,[],
SR-BL-A75EBEA50E13F73B-COMP-HIGH-001,kpi_001,72.22222222222221,100.0,9.0,27.777777777777786,Increase,[],
SR-BL-96356AE1C16295F7-,kpi_001,72.22222222222221,,,,Uncertain,[],
SR-BL-B5E032C0B67A9356-,kpi_001,73.91304347826086,,,,Uncertain,[],
SR-BL-E2B02306C6DE9E93-COMP-BASE-001,kpi_001,73.91304347826086,73.91304347826086,0.0,0.0,No Change,[],
SR-BL-E2B02306C6DE9E93-COMP-CONS-001,kpi_001,73.91304347826086,82.6086956521739,2.0,8.695652173913047,Increase,[],
SR-BL-E2B02306C6DE9E93-COMP-EXP-001,kpi_001,73.91304347826086,95.65217391304348,5.0,21.739130434782624,Increase,[],
SR-BL-E2B02306C6DE9E93-COMP-HIGH-001,kpi_001,73.91304347826086,100.0,9.0,26.08695652173914,Increase,[],
SR-BL-BC6F6EF3E4D3607E-,kpi_001,73.91304347826086,,,,Uncertain,[],
