scenario_run_id,approval_package_id,episode_id,scenario_template_id,comparator_id,comparator_type,scenario_family,scenario_mode,scenario_run_timestamp,engine_version,baseline_id,baseline_status,baseline_value,baseline_unit,baseline_reference_date,baseline_data_completeness,assumption_set_id,assumption_profile,assumption_values_json,assumption_validation_status,assumption_warning_count,primary_kpi_id,baseline_primary_kpi_value,scenario_primary_kpi_value,absolute_change,percentage_change,direction_of_change,operational_interpretation,affected_supporting_kpis,supporting_kpi_result_status,contradiction_severity,provisional_warning,causality_status,final_scenario_confidence,governance_warning,scenario_execution_status,management_review_required,source_file_list,source_record_id_list,recommendation_ids,evidence_pack_ids,calculation_rule_id,comparator_config_version,assumption_config_version
SR-BL-868B3BEA99B84FFE-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-868B3BEA99B84FFE,Available with Conditions,83.33333333333334,Percent,2026-01-08,50.0,,,{},,0,kpi_001,83.33333333333334,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108'],[],[],,,
SR-BL-7248F57B557B2D88-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-7248F57B557B2D88,Available with Conditions,83.33333333333334,Percent,2026-01-08,50.0,,,{},,0,kpi_001,83.33333333333334,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108'],[],[],,,
SR-BL-FA960D624BB4A356-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-FA960D624BB4A356,Available with Conditions,80.0,Percent,2026-01-16,50.0,,,{},,0,kpi_001,80.0,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116'],[],[],,,
SR-BL-39B86971C6CEAA6C-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-39B86971C6CEAA6C,Available with Conditions,80.0,Percent,2026-01-16,50.0,,,{},,0,kpi_001,80.0,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116'],[],[],,,
SR-BL-D6ADC7A9999608EF-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-D6ADC7A9999608EF,Available with Conditions,77.77777777777779,Percent,2026-02-09,50.0,,,{},,0,kpi_001,77.77777777777779,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209'],[],[],,,
SR-BL-70133AFA8D93E01B-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-70133AFA8D93E01B,Available with Conditions,77.77777777777779,Percent,2026-02-09,50.0,,,{},,0,kpi_001,77.77777777777779,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260209'],[],[],,,
SR-BL-BC5DDA2FCB098382-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-BC5DDA2FCB098382,Available with Conditions,84.55182072829132,Percent,2026-04-01,50.0,,,{},,0,kpi_001,84.55182072829132,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],"['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260328', 'AKPI-kpi_001-HOSP-001-DEPT-ADM-20260329', 'AKPI-kpi_001-HOSP-001-DEPT-ADM-20260330', 'AKPI-kpi_001-HOSP-001-DEPT-ADM-20260331', 'AKPI-kpi_001-HOSP-001-DEPT-ADM-20260401']",[],[],,,
SR-BL-5321F55DF7C730EE-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-5321F55DF7C730EE,Available with Conditions,84.55182072829132,Percent,2026-04-01,50.0,,,{},,0,kpi_001,84.55182072829132,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],"['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260328', 'AKPI-kpi_001-HOSP-001-DEPT-ADM-20260329', 'AKPI-kpi_001-HOSP-001-DEPT-ADM-20260330', 'AKPI-kpi_001-HOSP-001-DEPT-ADM-20260331', 'AKPI-kpi_001-HOSP-001-DEPT-ADM-20260401']",[],[],,,
SR-BL-D2B7A0571B895508-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-D2B7A0571B895508,Available with Conditions,83.33333333333334,Percent,2026-04-10,50.0,,,{},,0,kpi_001,83.33333333333334,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260410'],[],[],,,
SR-BL-571A825C51EF3462-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-571A825C51EF3462,Available with Conditions,83.33333333333334,Percent,2026-04-10,50.0,,,{},,0,kpi_001,83.33333333333334,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260410'],[],[],,,
SR-BL-8DA7F7613F011877-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-8DA7F7613F011877,Available with Conditions,78.57142857142857,Percent,2026-04-20,50.0,,,{},,0,kpi_001,78.57142857142857,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260420'],[],[],,,
SR-BL-72CF4289682BAE79-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-72CF4289682BAE79,Available with Conditions,78.57142857142857,Percent,2026-04-20,50.0,,,{},,0,kpi_001,78.57142857142857,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260420'],[],[],,,
SR-BL-D514917F5CC0C9BF-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-D514917F5CC0C9BF,Available with Conditions,75.0,Percent,2026-05-06,50.0,,,{},,0,kpi_001,75.0,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260506'],[],[],,,
SR-BL-3DC5A27AEF1C9A5C-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-3DC5A27AEF1C9A5C,Available with Conditions,75.0,Percent,2026-05-06,50.0,,,{},,0,kpi_001,75.0,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260506'],[],[],,,
SR-BL-148CC4864432449E-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-148CC4864432449E,Available with Conditions,83.33333333333334,Percent,2026-06-02,50.0,,,{},,0,kpi_001,83.33333333333334,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260602'],[],[],,,
SR-BL-0FA5EA53500FF719-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-0FA5EA53500FF719,Available with Conditions,83.33333333333334,Percent,2026-06-02,50.0,,,{},,0,kpi_001,83.33333333333334,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260602'],[],[],,,
SR-BL-0307B1E90B215F96-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-0307B1E90B215F96,Available with Conditions,75.0,Percent,2026-06-08,50.0,,,{},,0,kpi_001,75.0,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260608'],[],[],,,
SR-BL-D88E7695B211B03E-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-D88E7695B211B03E,Available with Conditions,75.0,Percent,2026-06-08,50.0,,,{},,0,kpi_001,75.0,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260608'],[],[],,,
SR-BL-97F70B36E98DB1F1-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-97F70B36E98DB1F1,Available with Conditions,64.70588235294117,Percent,2026-07-21,50.0,,,{},,0,kpi_001,64.70588235294117,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260721'],[],[],,,
SR-BL-BB49437192EFED17-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-BB49437192EFED17,Available with Conditions,64.70588235294117,Percent,2026-07-21,50.0,,,{},,0,kpi_001,64.70588235294117,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260721'],[],[],,,
SR-BL-981EE067F7E229E8-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-981EE067F7E229E8,Available with Conditions,72.22222222222221,Percent,2026-07-26,50.0,,,{},,0,kpi_001,72.22222222222221,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260726'],[],[],,,
SR-BL-96356AE1C16295F7-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-96356AE1C16295F7,Available with Conditions,72.22222222222221,Percent,2026-07-26,50.0,,,{},,0,kpi_001,72.22222222222221,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260726'],[],[],,,
SR-BL-B5E032C0B67A9356-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-B5E032C0B67A9356,Available with Conditions,73.91304347826086,Percent,2026-08-22,50.0,,,{},,0,kpi_001,73.91304347826086,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260822'],[],[],,,
SR-BL-BC6F6EF3E4D3607E-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-BC6F6EF3E4D3607E,Available with Conditions,73.91304347826086,Percent,2026-08-22,50.0,,,{},,0,kpi_001,73.91304347826086,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260822'],[],[],,,
SR-BL-5323A22D6A8CE9EA-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-5323A22D6A8CE9EA,Available with Conditions,80.95238095238095,Percent,2026-10-12,50.0,,,{},,0,kpi_001,80.95238095238095,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20261012'],[],[],,,
SR-BL-C714901CBE320E82-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-C714901CBE320E82,Available with Conditions,80.95238095238095,Percent,2026-10-12,50.0,,,{},,0,kpi_001,80.95238095238095,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20261012'],[],[],,,
SR-BL-67D0FE462C526756-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-67D0FE462C526756,Available with Conditions,75.0,Percent,2026-10-21,50.0,,,{},,0,kpi_001,75.0,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20261021'],[],[],,,
SR-BL-D4EC09AC5D32BE02-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-D4EC09AC5D32BE02,Available with Conditions,75.0,Percent,2026-10-21,50.0,,,{},,0,kpi_001,75.0,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20261021'],[],[],,,
SR-BL-D22C401935FBB0AF-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-D22C401935FBB0AF,Available with Conditions,83.89154704944178,Percent,2026-11-29,50.0,,,{},,0,kpi_001,83.89154704944178,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],"['AKPI-kpi_001-HOSP-001-DEPT-ADM-20261127', 'AKPI-kpi_001-HOSP-001-DEPT-ADM-20261128', 'AKPI-kpi_001-HOSP-001-DEPT-ADM-20261129']",[],[],,,
