scenario_run_id,approval_package_id,episode_id,scenario_template_id,comparator_id,comparator_type,scenario_family,scenario_mode,scenario_run_timestamp,engine_version,baseline_id,baseline_status,baseline_value,baseline_unit,baseline_reference_date,baseline_data_completeness,assumption_set_id,assumption_profile,assumption_values_json,assumption_validation_status,assumption_warning_count,primary_kpi_id,baseline_primary_kpi_value,scenario_primary_kpi_value,absolute_change,percentage_change,direction_of_change,operational_interpretation,affected_supporting_kpis,supporting_kpi_result_status,contradiction_severity,provisional_warning,causality_status,final_scenario_confidence,governance_warning,scenario_execution_status,management_review_required,source_file_list,source_record_id_list,recommendation_ids,evidence_pack_ids,calculation_rule_id,comparator_config_version,assumption_config_version
SR-BL-868B3BEA99B84FFE-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-868B3BEA99B84FFE,Available with Conditions,83.33333333333334,Percent,2026-01-08,50.0,,,{},,0,kpi_001,83.33333333333334,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108'],[],[],,,
SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-BASE-001,Baseline,Staffing Coverage Adjustment,Baseline,2026-07-28T14:58:57.651069,2C-2C-1.0,BL-0F2C9FAD4B411D32,Available with Conditions,83.33333333333334,Percent,2026-01-08,50.0,staffing-default,,{},All Valid,0,kpi_001,83.33333333333334,83.33333333333334,0.0,0.0,No Change,Staffing coverage adjusted from 83.33% to 83.33%. Adjusted available staff: 15.0 (required: 18.0).,[],,No Contradiction,False,Not Confirmed,Low,,Completed,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108'],['REC-CASE-DEPT-ADM-20260108-OPT1'],[],staffing-coverage-adjustment,2C-2B-1.0,2C-2B-1.0
SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-CONS-001,Conservative,Staffing Coverage Adjustment,Baseline,2026-07-28T14:58:57.688690,2C-2C-1.0,BL-0F2C9FAD4B411D32,Available with Conditions,83.33333333333334,Percent,2026-01-08,50.0,staffing-default,,"{""additional_staff_count"": 1.0, ""temporary_staff_count"": 1.0, ""staff_reassignment_count"": 0.0, ""uncovered_shift_reduction_pct"": 0.0, ""intervention_duration_days"": 7.0}",All Valid,0,kpi_001,83.33333333333334,94.44444444444444,2.0,11.1111111111111,Increase,Staffing coverage adjusted from 83.33% to 94.44%. Adjusted available staff: 17.0 (required: 18.0).,[],,No Contradiction,False,Not Confirmed,Low,,Completed,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108'],['REC-CASE-DEPT-ADM-20260108-OPT1'],[],staffing-coverage-adjustment,2C-2B-1.0,2C-2B-1.0
SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-EXP-001,Expected,Staffing Coverage Adjustment,Baseline,2026-07-28T14:58:57.692772,2C-2C-1.0,BL-0F2C9FAD4B411D32,Available with Conditions,83.33333333333334,Percent,2026-01-08,50.0,staffing-default,,"{""additional_staff_count"": 2.0, ""temporary_staff_count"": 2.0, ""staff_reassignment_count"": 1.0, ""uncovered_shift_reduction_pct"": 10.0, ""intervention_duration_days"": 14.0}",All Valid,0,kpi_001,83.33333333333334,100.0,5.0,16.666666666666657,Increase,Staffing coverage adjusted from 83.33% to 100.00%. Adjusted available staff: 20.0 (required: 18.0).,[],,No Contradiction,False,Not Confirmed,Low,Staffing coverage capped at 100.0%.,Completed,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108'],['REC-CASE-DEPT-ADM-20260108-OPT1'],[],staffing-coverage-adjustment,2C-2B-1.0,2C-2B-1.0
SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,COMP-HIGH-001,Higher Intensity,Staffing Coverage Adjustment,Baseline,2026-07-28T14:58:57.699376,2C-2C-1.0,BL-0F2C9FAD4B411D32,Available with Conditions,83.33333333333334,Percent,2026-01-08,50.0,staffing-default,,"{""additional_staff_count"": 4.0, ""temporary_staff_count"": 3.0, ""staff_reassignment_count"": 2.0, ""uncovered_shift_reduction_pct"": 20.0, ""intervention_duration_days"": 30.0}",All Valid,0,kpi_001,83.33333333333334,100.0,9.0,16.666666666666657,Increase,Staffing coverage adjusted from 83.33% to 100.00%. Adjusted available staff: 24.0 (required: 18.0).,[],,No Contradiction,False,Not Confirmed,Low,Staffing coverage capped at 100.0%.,Completed,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108'],['REC-CASE-DEPT-ADM-20260108-OPT1'],[],staffing-coverage-adjustment,2C-2B-1.0,2C-2B-1.0
SR-BL-7248F57B557B2D88-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,,-BLOCKED,Baseline,Monitoring-Only or Validation Scenario,Monitoring Only,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-7248F57B557B2D88,Available with Conditions,83.33333333333334,Percent,2026-01-08,50.0,,,{},,0,kpi_001,83.33333333333334,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'Monitoring-Only or Validation Scenario' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260108'],[],[],,,
SR-BL-FA960D624BB4A356-,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,,-BLOCKED,Baseline,No-Action or Baseline Comparator,No-Action Comparator,2026-07-28T14:58:28.494705+00:00,2C-2C-1.0,BL-FA960D624BB4A356,Available with Conditions,80.0,Percent,2026-01-16,50.0,,,{},,0,kpi_001,80.0,,,,Uncertain,,[],,No Contradiction,False,Not Confirmed,Insufficient Evidence,Scenario family 'No-Action or Baseline Comparator' is not supported for quantitative modelling.,Blocked — Unsupported Family,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116'],[],[],,,
SR-BL-8967EE194089397D-COMP-BASE-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,COMP-BASE-001,Baseline,Staffing Coverage Adjustment,Baseline,2026-07-28T14:58:57.706916,2C-2C-1.0,BL-8967EE194089397D,Available with Conditions,80.0,Percent,2026-01-16,50.0,staffing-default,,{},All Valid,0,kpi_001,80.0,80.0,0.0,0.0,No Change,Staffing coverage adjusted from 80.00% to 80.00%. Adjusted available staff: 12.0 (required: 15.0).,[],,No Contradiction,False,Not Confirmed,Low,,Completed,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116'],['REC-CASE-DEPT-ADM-20260116-OPT1'],[],staffing-coverage-adjustment,2C-2B-1.0,2C-2B-1.0
SR-BL-8967EE194089397D-COMP-CONS-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,COMP-CONS-001,Conservative,Staffing Coverage Adjustment,Baseline,2026-07-28T14:58:57.713576,2C-2C-1.0,BL-8967EE194089397D,Available with Conditions,80.0,Percent,2026-01-16,50.0,staffing-default,,"{""additional_staff_count"": 1.0, ""temporary_staff_count"": 1.0, ""staff_reassignment_count"": 0.0, ""uncovered_shift_reduction_pct"": 0.0, ""intervention_duration_days"": 7.0}",All Valid,0,kpi_001,80.0,93.33333333333333,2.0,13.333333333333329,Increase,Staffing coverage adjusted from 80.00% to 93.33%. Adjusted available staff: 14.0 (required: 15.0).,[],,No Contradiction,False,Not Confirmed,Low,,Completed,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116'],['REC-CASE-DEPT-ADM-20260116-OPT1'],[],staffing-coverage-adjustment,2C-2B-1.0,2C-2B-1.0
SR-BL-8967EE194089397D-COMP-EXP-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,COMP-EXP-001,Expected,Staffing Coverage Adjustment,Baseline,2026-07-28T14:58:57.718053,2C-2C-1.0,BL-8967EE194089397D,Available with Conditions,80.0,Percent,2026-01-16,50.0,staffing-default,,"{""additional_staff_count"": 2.0, ""temporary_staff_count"": 2.0, ""staff_reassignment_count"": 1.0, ""uncovered_shift_reduction_pct"": 10.0, ""intervention_duration_days"": 14.0}",All Valid,0,kpi_001,80.0,100.0,5.0,20.0,Increase,Staffing coverage adjusted from 80.00% to 100.00%. Adjusted available staff: 17.0 (required: 15.0).,[],,No Contradiction,False,Not Confirmed,Low,Staffing coverage capped at 100.0%.,Completed,False,['analytical_workforce_kpi_daily.csv'],['AKPI-kpi_001-HOSP-001-DEPT-ADM-20260116'],['REC-CASE-DEPT-ADM-20260116-OPT1'],[],staffing-coverage-adjustment,2C-2B-1.0,2C-2B-1.0
