sensitivity_id,approval_package_id,scenario_template_id,sensitivity_classification,sensitivity_rationale,direction_stable,magnitude_variation,warning_increase,confidence_change,direction_reversal,comparator_count
SENS-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,SCEN-STAFF-001,Sensitive to Assumption Intensity,Outcome direction changes across comparator intensities,False,16.666666666666657,False,False,False,4
SENS-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,SCEN-STAFF-001,Sensitive to Assumption Intensity,Outcome direction changes across comparator intensities,False,20.0,False,False,False,4
SENS-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,SCEN-STAFF-001,Sensitive to Assumption Intensity,Outcome direction changes across comparator intensities,False,22.222222222222214,False,False,False,4
SENS-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,SCEN-STAFF-001,Direction Reversal,Outcome direction reverses across comparator intensities,False,15.662650602409641,False,False,True,4
SENS-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,SCEN-STAFF-001,Sensitive to Assumption Intensity,Outcome direction changes across comparator intensities,False,16.666666666666657,False,False,False,4
SENS-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,SCEN-STAFF-001,Sensitive to Assumption Intensity,Outcome direction changes across comparator intensities,False,21.42857142857143,False,False,False,4
SENS-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,SCEN-STAFF-001,Sensitive to Assumption Intensity,Outcome direction changes across comparator intensities,False,25.0,False,False,False,4
SENS-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,SCEN-STAFF-001,Sensitive to Assumption Intensity,Outcome direction changes across comparator intensities,False,16.666666666666657,False,False,False,4
SENS-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,SCEN-STAFF-001,Sensitive to Assumption Intensity,Outcome direction changes across comparator intensities,False,25.0,False,False,False,4
SENS-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-SCEN-STAFF-001,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,SCEN-STAFF-001,Sensitive to Assumption Intensity,Outcome direction changes across comparator intensities,False,35.294117647058826,False,False,False,4
