evidence_id,scenario_run_id,evidence_type,source_type,source_id,source_file,link_type,recorded_at
EV-4E4FACC3B4EB4261,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-0F2C9FAD4B411D32-COMP-BASE-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-A9BA0F51BDF34DE3,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-0F2C9FAD4B411D32-COMP-CONS-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-EA388588209641F1,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-0F2C9FAD4B411D32-COMP-EXP-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-7C60C88518CB4940,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-0F2C9FAD4B411D32-COMP-HIGH-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-9712E3FA188240D3,SR-BL-8967EE194089397D-COMP-BASE-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-8967EE194089397D-COMP-BASE-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-787AA7AACDA04849,SR-BL-8967EE194089397D-COMP-CONS-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-8967EE194089397D-COMP-CONS-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-7AF2E3980594447C,SR-BL-8967EE194089397D-COMP-EXP-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-8967EE194089397D-COMP-EXP-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-92F6455CA02C4351,SR-BL-8967EE194089397D-COMP-HIGH-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-8967EE194089397D-COMP-HIGH-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-4849CAF0111B4578,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-DC41AA9F364EC81B-COMP-BASE-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-CCBD8D2661EB4550,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-DC41AA9F364EC81B-COMP-CONS-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-5C2802BBDE174906,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-DC41AA9F364EC81B-COMP-EXP-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-DADC3203401746E7,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-DC41AA9F364EC81B-COMP-HIGH-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-E67185A2D63547D7,SR-BL-3048F5335B1741BC-COMP-BASE-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-3048F5335B1741BC-COMP-BASE-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-E642392505734778,SR-BL-3048F5335B1741BC-COMP-CONS-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-3048F5335B1741BC-COMP-CONS-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-5C9C2F55DE1740B4,SR-BL-3048F5335B1741BC-COMP-EXP-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-3048F5335B1741BC-COMP-EXP-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-DAAC26715F0B4626,SR-BL-3048F5335B1741BC-COMP-HIGH-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-3048F5335B1741BC-COMP-HIGH-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-60A7A6243F1E4985,SR-BL-EB935D17ADFCF500-COMP-BASE-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-EB935D17ADFCF500-COMP-BASE-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-0BE5378EA0B341A2,SR-BL-EB935D17ADFCF500-COMP-CONS-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-EB935D17ADFCF500-COMP-CONS-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-B9E863BF7F0D44A3,SR-BL-EB935D17ADFCF500-COMP-EXP-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-EB935D17ADFCF500-COMP-EXP-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-51AF4603CA97479D,SR-BL-EB935D17ADFCF500-COMP-HIGH-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-EB935D17ADFCF500-COMP-HIGH-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-7DBBA4D3B1004000,SR-BL-24E8132F23E980FC-COMP-BASE-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-24E8132F23E980FC-COMP-BASE-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-5372A93D89ED4209,SR-BL-24E8132F23E980FC-COMP-CONS-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-24E8132F23E980FC-COMP-CONS-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-D4ABFDB9C148466D,SR-BL-24E8132F23E980FC-COMP-EXP-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-24E8132F23E980FC-COMP-EXP-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-1D824038A229496A,SR-BL-24E8132F23E980FC-COMP-HIGH-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-24E8132F23E980FC-COMP-HIGH-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-B92F711135CA4396,SR-BL-1A12AF7C3E39DADF-COMP-BASE-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-1A12AF7C3E39DADF-COMP-BASE-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
EV-F49AB075FB1E4FF6,SR-BL-1A12AF7C3E39DADF-COMP-CONS-001,Trade-Off Analysis,Step 2C-2C Scenario Run,SR-BL-1A12AF7C3E39DADF-COMP-CONS-001,analytical_scenario_runs.csv,Derived,2026-07-28T15:00:05.687306+00:00
