exclusion_id,kpi_id,hospital_id,department_id,reporting_date,reason_code,reason_description,source_record_id,calculation_run_id,_source_domain,integration_exclusion_id,source_exclusion_id,exclusion_origin,integration_run_id
EXC-502ACED6,kpi_003,HOSP-001,DEPT-ADM,2026-01-01,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260101,PF-KPI-4E7933DFEF21,patient_flow,IEXC-B1547C13,EXC-502ACED6,source_engine,SIX-KPI-8EC2F4190438
EXC-6C96B783,kpi_003,HOSP-001,DEPT-ADM,2026-01-02,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260102,PF-KPI-4E7933DFEF21,patient_flow,IEXC-BA0F37DA,EXC-6C96B783,source_engine,SIX-KPI-8EC2F4190438
EXC-8FE8B416,kpi_003,HOSP-001,DEPT-ADM,2026-01-03,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260103,PF-KPI-4E7933DFEF21,patient_flow,IEXC-54D758FD,EXC-8FE8B416,source_engine,SIX-KPI-8EC2F4190438
EXC-53C5EDF9,kpi_003,HOSP-001,DEPT-ADM,2026-01-04,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260104,PF-KPI-4E7933DFEF21,patient_flow,IEXC-555DE913,EXC-53C5EDF9,source_engine,SIX-KPI-8EC2F4190438
EXC-6CD5E2C6,kpi_003,HOSP-001,DEPT-ADM,2026-01-05,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260105,PF-KPI-4E7933DFEF21,patient_flow,IEXC-6BD17D30,EXC-6CD5E2C6,source_engine,SIX-KPI-8EC2F4190438
EXC-711DEB3D,kpi_003,HOSP-001,DEPT-ADM,2026-01-06,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260106,PF-KPI-4E7933DFEF21,patient_flow,IEXC-03967B6D,EXC-711DEB3D,source_engine,SIX-KPI-8EC2F4190438
EXC-1425C2FC,kpi_003,HOSP-001,DEPT-ADM,2026-01-07,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260107,PF-KPI-4E7933DFEF21,patient_flow,IEXC-0E8EE17A,EXC-1425C2FC,source_engine,SIX-KPI-8EC2F4190438
EXC-0877EFFC,kpi_003,HOSP-001,DEPT-ADM,2026-01-08,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260108,PF-KPI-4E7933DFEF21,patient_flow,IEXC-1F84EDDB,EXC-0877EFFC,source_engine,SIX-KPI-8EC2F4190438
EXC-F08D1603,kpi_003,HOSP-001,DEPT-ADM,2026-01-09,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260109,PF-KPI-4E7933DFEF21,patient_flow,IEXC-0DB28781,EXC-F08D1603,source_engine,SIX-KPI-8EC2F4190438
EXC-0A729939,kpi_003,HOSP-001,DEPT-ADM,2026-01-10,ELIGIBILITY,operational_beds is null,OPD-HOSP-001-DEPT-ADM-20260110,PF-KPI-4E7933DFEF21,patient_flow,IEXC-222FD548,EXC-0A729939,source_engine,SIX-KPI-8EC2F4190438
