issue_id,severity,issue_type,kpi_id,hospital_id,department_id,reporting_date,message,source_dataset,source_record_id,calculation_run_id,_source_domain,integration_issue_id,source_issue_id,issue_origin,integration_run_id
ISS-kpi_005-1FA430B7,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-01,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260101,PEX-KPI-DCF120177644,patient_experience,IISS-36E0DF70,ISS-kpi_005-1FA430B7,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-7F237648,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-02,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260102,PEX-KPI-DCF120177644,patient_experience,IISS-5276E77F,ISS-kpi_005-7F237648,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-C960BFCC,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-03,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260103,PEX-KPI-DCF120177644,patient_experience,IISS-303F2FC9,ISS-kpi_005-C960BFCC,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-4083BA20,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-04,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260104,PEX-KPI-DCF120177644,patient_experience,IISS-651C97AB,ISS-kpi_005-4083BA20,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-3D2E750C,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-05,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260105,PEX-KPI-DCF120177644,patient_experience,IISS-CED96E85,ISS-kpi_005-3D2E750C,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-B3F3CD0F,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-06,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260106,PEX-KPI-DCF120177644,patient_experience,IISS-EF34A291,ISS-kpi_005-B3F3CD0F,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-1A8C8116,Warning,INSUFFICIENT_DATA,kpi_005,HOSP-001,DEPT-ADM,2026-01-07,Insufficient data for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260107,PEX-KPI-DCF120177644,patient_experience,IISS-76ADD6EE,ISS-kpi_005-1A8C8116,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_006-B3CD650C,Warning,INSUFFICIENT_DATA,kpi_006,HOSP-001,DEPT-ADM,2026-01-07,Insufficient data for kpi_006,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260107,PEX-KPI-DCF120177644,patient_experience,IISS-B0E035ED,ISS-kpi_006-B3CD650C,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-C5DC05B9,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-08,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260108,PEX-KPI-DCF120177644,patient_experience,IISS-2CEDD4EE,ISS-kpi_005-C5DC05B9,source_engine,SIX-KPI-8EC2F4190438
ISS-kpi_005-123553A8,Warning,ZERO_DENOMINATOR,kpi_005,HOSP-001,DEPT-ADM,2026-01-09,Zero denominator for kpi_005,processed_operational_daily.csv,OPD-HOSP-001-DEPT-ADM-20260109,PEX-KPI-DCF120177644,patient_experience,IISS-2CB71CF4,ISS-kpi_005-123553A8,source_engine,SIX-KPI-8EC2F4190438
