analytical_record_id,hospital_id,department_id,reporting_date,reporting_month,reporting_year,kpi_id,kpi_name,domain,numerator_value,denominator_value,kpi_value,unit,calculation_status,readiness_status,threshold_status,threshold_version,threshold_approval_status,threshold_is_provisional,configuration_version,data_confidence_level,confidence_rule_version,source_dataset,source_record_id,calculation_run_id,calculated_at
AKPI-kpi_001-HOSP-001-DEPT-ADM-20250101,HOSP-001,DEPT-ADM,2025-01-01,1,2025,kpi_001,Staffing Level,Workforce,20.0,25.0,80.0,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.460494
AKPI-kpi_002-HOSP-001-DEPT-ADM-20250101,HOSP-001,DEPT-ADM,2025-01-01,1,2025,kpi_002,Staff Absenteeism Rate,Workforce,2.0,25.0,8.0,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.463314
AKPI-kpi_001-HOSP-001-DEPT-ADM-20250102,HOSP-001,DEPT-ADM,2025-01-02,1,2025,kpi_001,Staffing Level,Workforce,19.0,20.0,95.0,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.464570
AKPI-kpi_002-HOSP-001-DEPT-ADM-20250102,HOSP-001,DEPT-ADM,2025-01-02,1,2025,kpi_002,Staff Absenteeism Rate,Workforce,0.0,20.0,0.0,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.465374
AKPI-kpi_001-HOSP-001-DEPT-ADM-20250103,HOSP-001,DEPT-ADM,2025-01-03,1,2025,kpi_001,Staffing Level,Workforce,19.0,21.0,90.47619047619048,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.466138
AKPI-kpi_002-HOSP-001-DEPT-ADM-20250103,HOSP-001,DEPT-ADM,2025-01-03,1,2025,kpi_002,Staff Absenteeism Rate,Workforce,1.0,21.0,4.761904761904762,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.466849
AKPI-kpi_001-HOSP-001-DEPT-ADM-20250104,HOSP-001,DEPT-ADM,2025-01-04,1,2025,kpi_001,Staffing Level,Workforce,14.0,15.0,93.33333333333333,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.467653
AKPI-kpi_002-HOSP-001-DEPT-ADM-20250104,HOSP-001,DEPT-ADM,2025-01-04,1,2025,kpi_002,Staff Absenteeism Rate,Workforce,0.0,15.0,0.0,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.468338
AKPI-kpi_001-HOSP-001-DEPT-ADM-20250105,HOSP-001,DEPT-ADM,2025-01-05,1,2025,kpi_001,Staffing Level,Workforce,20.0,20.0,100.0,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.469053
AKPI-kpi_002-HOSP-001-DEPT-ADM-20250105,HOSP-001,DEPT-ADM,2025-01-05,1,2025,kpi_002,Staff Absenteeism Rate,Workforce,0.0,20.0,0.0,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.469782
AKPI-kpi_001-HOSP-001-DEPT-ADM-20250106,HOSP-001,DEPT-ADM,2025-01-06,1,2025,kpi_001,Staffing Level,Workforce,18.0,20.0,90.0,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.470493
AKPI-kpi_002-HOSP-001-DEPT-ADM-20250106,HOSP-001,DEPT-ADM,2025-01-06,1,2025,kpi_002,Staff Absenteeism Rate,Workforce,2.0,20.0,10.0,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.471211
AKPI-kpi_001-HOSP-001-DEPT-ADM-20250107,HOSP-001,DEPT-ADM,2025-01-07,1,2025,kpi_001,Staffing Level,Workforce,12.0,15.0,80.0,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.471966
AKPI-kpi_002-HOSP-001-DEPT-ADM-20250107,HOSP-001,DEPT-ADM,2025-01-07,1,2025,kpi_002,Staff Absenteeism Rate,Workforce,1.0,15.0,6.666666666666667,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.472646
AKPI-kpi_001-HOSP-001-DEPT-ADM-20250108,HOSP-001,DEPT-ADM,2025-01-08,1,2025,kpi_001,Staffing Level,Workforce,15.0,18.0,83.33333333333334,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.473385
AKPI-kpi_002-HOSP-001-DEPT-ADM-20250108,HOSP-001,DEPT-ADM,2025-01-08,1,2025,kpi_002,Staff Absenteeism Rate,Workforce,1.0,18.0,5.555555555555555,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.474072
AKPI-kpi_001-HOSP-001-DEPT-ADM-20250109,HOSP-001,DEPT-ADM,2025-01-09,1,2025,kpi_001,Staffing Level,Workforce,22.0,22.0,100.0,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.474799
AKPI-kpi_002-HOSP-001-DEPT-ADM-20250109,HOSP-001,DEPT-ADM,2025-01-09,1,2025,kpi_002,Staff Absenteeism Rate,Workforce,1.0,22.0,4.545454545454546,Percent,Calculated,Conditionally Ready,Not Assessed,v1.0-draft,Draft,True,v1.0-draft,High,v1.0-draft,processed_operational_daily,,WF-KPI-AE9BC170EF5F,2025-07-27T10:44:26.475505
