analytical_record_id,kpi_id,source_dataset,source_record_id,calculation_run_id,evidence_type,source_field,source_value,evidence_role
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260101,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,20.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260101,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,25.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260101,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,2.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260101,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,25.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260102,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,19.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260102,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260102,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260102,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,20.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260103,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,19.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260103,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,21.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260103,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,1.0,numerator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260103,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,21.0,denominator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260104,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,present_staff_count + replacement_staff_count,14.0,numerator
AKPI-kpi_001-HOSP-001-DEPT-ADM-20260104,kpi_001,processed_operational_daily,,WF-KPI-AE9BC170EF5F,denominator,planned_staff_count,15.0,denominator
AKPI-kpi_002-HOSP-001-DEPT-ADM-20260104,kpi_002,processed_operational_daily,,WF-KPI-AE9BC170EF5F,numerator,unapproved_absence_count,0.0,numerator
