survey_id,hospital_id,department_id,encounter_id,survey_date,survey_type,scale_id,score_value,response_weight,is_complete,source_system,created_at
SURV-00000001,HOSP-001,DEPT-OPC,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,2.4735301397573712,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000002,HOSP-001,DEPT-OPC,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,2.910750601145193,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000003,HOSP-001,DEPT-ICU,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,4.757517239011568,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000004,HOSP-001,DEPT-ADM,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,4.0311413586087035,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000005,HOSP-001,DEPT-DIAG,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,4.444876765258371,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000006,HOSP-001,DEPT-DIAG,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,5.0,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000007,HOSP-001,DEPT-PEX,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,3.704782254741907,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000008,HOSP-001,DEPT-PEX,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,,1.0,False,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000009,HOSP-001,DEPT-SURG,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,4.962408514673321,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000010,HOSP-001,DEPT-MED,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,3.411086162731441,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000011,HOSP-001,DEPT-SURG,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,3.6488120917739404,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000012,HOSP-001,DEPT-OPC,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,3.360507036789316,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000013,HOSP-001,DEPT-MED,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,2.8538290680023257,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000014,HOSP-001,DEPT-ED,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,3.1646423282718894,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000015,HOSP-001,DEPT-ICU,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,3.849649908480132,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000016,HOSP-001,DEPT-ED,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,,1.0,False,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000017,HOSP-001,DEPT-PEX,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,4.255440582863077,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000018,HOSP-001,DEPT-OPC,,2026-01-01,Outpatient Satisfaction,SCALE-5PT,4.087020546812923,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000019,HOSP-001,DEPT-PEX,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,2.6066469522543487,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000020,HOSP-001,DEPT-ADM,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,3.7969739903474364,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000021,HOSP-001,DEPT-OPC,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,4.667121143473431,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000022,HOSP-001,DEPT-PEX,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,3.3271886088851956,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000023,HOSP-001,DEPT-SURG,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,3.6190521860875817,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000024,HOSP-001,DEPT-ED,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,3.812026183919197,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000025,HOSP-001,DEPT-ICU,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,3.44478045184617,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000026,HOSP-001,DEPT-MED,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,3.678527864967033,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000027,HOSP-001,DEPT-PEX,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,4.114654175128734,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000028,HOSP-001,DEPT-ICU,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,3.223190855938997,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000029,HOSP-001,DEPT-ICU,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,4.671426851934575,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000030,HOSP-001,DEPT-ICU,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,2.4488656525168686,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000031,HOSP-001,DEPT-SURG,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,4.064545621099345,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000032,HOSP-001,DEPT-OPC,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,4.293799188201579,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000033,HOSP-001,DEPT-ICU,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,2.9163993257842566,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000034,HOSP-001,DEPT-SURG,,2026-01-02,Outpatient Satisfaction,SCALE-5PT,4.046431058237417,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000035,HOSP-001,DEPT-DIAG,,2026-01-03,Outpatient Satisfaction,SCALE-5PT,3.938668306689105,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000036,HOSP-001,DEPT-ED,,2026-01-03,Outpatient Satisfaction,SCALE-5PT,4.5544207272591,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000037,HOSP-001,DEPT-ICU,,2026-01-03,Outpatient Satisfaction,SCALE-5PT,4.376130713153063,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000038,HOSP-001,DEPT-SURG,,2026-01-03,Outpatient Satisfaction,SCALE-5PT,3.9142746201515703,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000039,HOSP-001,DEPT-ED,,2026-01-03,Outpatient Satisfaction,SCALE-5PT,3.6528325835983284,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000040,HOSP-001,DEPT-ED,,2026-01-03,Outpatient Satisfaction,SCALE-5PT,5.0,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000041,HOSP-001,DEPT-PEX,,2026-01-03,Outpatient Satisfaction,SCALE-5PT,3.4577641203649185,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
SURV-00000042,HOSP-001,DEPT-PEX,,2026-01-03,Outpatient Satisfaction,SCALE-5PT,4.041999892426834,1.0,True,SENTINEL_DEMO_SURV,2025-01-01
