staff_id,hospital_id,department_id,role_id,staff_name,email,phone_number,ic_number,address,employment_type,fte_value,is_active,employment_start_date,employment_end_date,source_system,record_version,record_created_datetime,record_updated_datetime
STAFF-0001,HOSP-001,DEPT-ADM,ROLE-PEO,,,,,,Contract,1.0,True,2025-04-12,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0002,HOSP-001,DEPT-DIAG,ROLE-HCA,,,,,,Full-Time,1.0,True,2025-03-24,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0003,HOSP-001,DEPT-ED,ROLE-AMO,,,,,,Part-Time,0.6,True,2024-09-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0004,HOSP-001,DEPT-ED,ROLE-RN,,,,,,Full-Time,1.0,True,2024-07-06,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0005,HOSP-001,DEPT-ED,ROLE-MO,,,,,,Full-Time,1.0,True,2025-06-08,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0006,HOSP-001,DEPT-MED,ROLE-ED-PHY,,,,,,Part-Time,0.6,True,2024-01-07,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0007,HOSP-001,DEPT-ICU,ROLE-PEO,,,,,,Full-Time,1.0,True,2024-06-30,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0008,HOSP-001,DEPT-ED,ROLE-RAD,,,,,,Contract,0.75,True,2025-03-22,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0009,HOSP-001,DEPT-ICU,ROLE-MO,,,,,,Contract,0.75,True,2024-01-18,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0010,HOSP-001,DEPT-ICU,ROLE-RN,,,,,,Full-Time,1.0,True,2024-01-23,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0011,HOSP-001,DEPT-ICU,ROLE-RAD,,,,,,Contract,1.0,True,2025-07-14,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0012,HOSP-001,DEPT-OPC,ROLE-ED-PHY,,,,,,Part-Time,0.5,True,2024-03-31,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0013,HOSP-001,DEPT-ADM,ROLE-PHARM,,,,,,Full-Time,1.0,True,2025-03-10,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0014,HOSP-001,DEPT-MED,ROLE-ED-PHY,,,,,,Full-Time,1.0,True,2024-09-15,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
STAFF-0015,HOSP-001,DEPT-MED,ROLE-ED-PHY,,,,,,Contract,0.75,True,2025-10-29,,SENTINEL_DEMO_HR,1,2025-01-01,2025-01-01
