month,storyline_phase,rostered_hours,verified_attendance_hours,absent_event_count,partial_attendance_count,encounter_count,descriptive_wait_minutes,queue_avg_wait_minutes,occupied_bed_count,operational_bed_count,complaint_count,survey_response_count,descriptive_normalised_satisfaction,reduced_service_session_count,cancelled_service_session_count,inspection_notes
2026-01-01,Stable period,28032.0,25991.016757037432,128,62,6789,31.946056830268954,31.934408602150537,5695,6811,78,418,3.8324481821673975,,,Descriptive source-level inspection only; not an official KPI output.
2026-02-01,Stable period,25408.0,23589.403544945486,121,63,6315,31.66013712047013,31.566666666666666,5167,6173,69,397,3.8526297513151397,,,Descriptive source-level inspection only; not an official KPI output.
2026-03-01,Early pressure period,28320.0,25760.818429538434,182,85,7502,36.70082304526749,36.666666666666664,5968,6774,99,435,3.6558177212214327,,,Descriptive source-level inspection only; not an official KPI output.
2026-04-01,Deterioration period,27032.0,23906.04711288505,245,90,8730,45.12340726757905,45.25,6481,6608,123,456,3.476349820837658,,,Descriptive source-level inspection only; not an official KPI output.
2026-05-01,Deterioration period,28352.0,25210.23794477536,230,101,8388,45.07049160230477,45.027956989247315,6652,6785,139,469,3.5055685791546005,,,Descriptive source-level inspection only; not an official KPI output.
2026-06-01,Critical pressure period,27064.0,23495.624115964038,288,131,8533,54.66256187371725,54.66444444444445,6925,6593,191,439,3.208056181685353,22.0,19.0,Descriptive source-level inspection only; not an official KPI output.
2026-07-01,Critical pressure period,27672.0,24129.11405960107,283,112,8599,54.348029793368575,54.43225806451613,7140,6795,194,446,3.2601891522319977,21.0,19.0,Descriptive source-level inspection only; not an official KPI output.
2026-08-01,Intervention or recovery period,28432.0,25744.56196054477,184,72,8009,40.217430484037074,40.2763440860215,6393,6841,106,442,3.6216409548361277,,,Descriptive source-level inspection only; not an official KPI output.
2026-09-01,Intervention or recovery period,27128.0,24668.991271997438,189,60,7578,40.25132311032704,40.11666666666667,6029,6578,110,426,3.5996400899420777,,,Descriptive source-level inspection only; not an official KPI output.
2026-10-01,Intervention or recovery period,28160.0,25141.063014950447,240,90,7989,40.36704457614017,40.37849462365591,6316,6784,128,439,3.6056280285038604,,,Descriptive source-level inspection only; not an official KPI output.
2026-11-01,Intervention or recovery period,27568.0,24870.111117829314,219,56,7621,39.94328922495274,39.89777777777778,6104,6593,107,420,3.5929992240737607,,,Descriptive source-level inspection only; not an official KPI output.
2026-12-01,Intervention or recovery period,28792.0,25927.411604917263,218,97,7905,39.99334377447142,40.02258064516129,6359,6830,121,457,3.486620042325451,,,Descriptive source-level inspection only; not an official KPI output.
