bed_capacity_record_id,hospital_id,department_id,reporting_date,reporting_month,licensed_beds,staffed_beds,operational_beds,occupied_beds,unavailable_beds,reserved_beds,beds_above_operational_capacity,overcapacity_flag,overcapacity_exception_flag,overcapacity_reason,valid_bed_record_flag,source_primary_key,processing_run_id,validation_run_id,transformation_version,processed_datetime,source_row_number
BED-000000001,HOSP-001,DEPT-MED,2026-01-01,2026-01,120,111,107,95,13,3,0,False,False,,True,BED-000000001,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000002,HOSP-001,DEPT-SURG,2026-01-01,2026-01,100,99,94,75,6,1,0,False,False,,True,BED-000000002,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000003,HOSP-001,DEPT-ICU,2026-01-01,2026-01,24,21,19,15,5,0,0,False,False,,True,BED-000000003,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000004,HOSP-001,DEPT-MED,2026-01-02,2026-01,120,113,108,87,12,4,0,False,False,,True,BED-000000004,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000005,HOSP-001,DEPT-SURG,2026-01-02,2026-01,100,99,96,88,4,4,0,False,False,,True,BED-000000005,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000006,HOSP-001,DEPT-ICU,2026-01-02,2026-01,24,23,22,20,2,0,0,False,False,,True,BED-000000006,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000007,HOSP-001,DEPT-MED,2026-01-03,2026-01,120,112,103,91,17,1,0,False,False,,True,BED-000000007,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000008,HOSP-001,DEPT-SURG,2026-01-03,2026-01,100,97,91,73,9,3,0,False,False,,True,BED-000000008,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000009,HOSP-001,DEPT-ICU,2026-01-03,2026-01,24,21,20,16,4,0,0,False,False,,True,BED-000000009,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000010,HOSP-001,DEPT-MED,2026-01-04,2026-01,120,111,102,82,18,0,0,False,False,,True,BED-000000010,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
BED-000000011,HOSP-001,DEPT-SURG,2026-01-04,2026-01,100,94,87,75,13,2,0,False,False,,True,BED-000000011,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.190341,
