patient_experience_daily_id,hospital_id,department_id,reporting_date,reporting_month,reporting_year,complaint_record_count,complaint_valid_record_count,complaint_excluded_record_count,complaint_high_severity_count,complaint_medium_severity_count,complaint_low_severity_count,complaint_open_source_count,complaint_resolved_source_count,complaint_channel_distinct_count,complaint_category_distinct_count,complaint_count_available_flag,survey_record_count,survey_response_count_total,survey_valid_score_record_count,survey_invalid_score_record_count,survey_score_sum,survey_score_weighted_sum,survey_score_min,survey_score_max,survey_score_source_scale_count,survey_score_available_flag,survey_response_count_available_flag,complaint_source_present_flag,survey_source_present_flag,patient_experience_data_complete_flag,unresolved_rule_flag,processing_run_id,processed_datetime,transformation_version
PEX-HOSP-001-DEPT-OPC-20260101,HOSP-001,DEPT-OPC,2026-01-01,1,2026,1,1,1,0,0,1,1,0,1,1,True,4.0,4.0,4.0,0.0,12.0,12.0,2.4735301397573712,4.087020546812923,4.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-SURG-20260101,HOSP-001,DEPT-SURG,2026-01-01,1,2026,1,1,1,0,1,0,1,0,1,1,True,2.0,2.0,2.0,0.0,8.0,8.0,3.648812091773941,4.962408514673321,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260101,HOSP-001,DEPT-MED,2026-01-01,1,2026,1,1,1,0,0,1,1,0,1,1,True,2.0,2.0,2.0,0.0,6.0,6.0,2.8538290680023257,3.411086162731441,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ED-20260102,HOSP-001,DEPT-ED,2026-01-02,1,2026,1,1,1,0,1,0,0,1,1,1,True,1.0,1.0,1.0,0.0,3.0,3.0,3.812026183919197,3.812026183919197,1.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ED-20260103,HOSP-001,DEPT-ED,2026-01-03,1,2026,1,1,1,0,0,0,1,0,1,1,True,3.0,3.0,3.0,0.0,13.0,13.0,3.652832583598328,5.0,3.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-MED-20260104,HOSP-001,DEPT-MED,2026-01-04,1,2026,1,1,1,0,0,1,1,0,1,1,True,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,False,False,True,False,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-DIAG-20260104,HOSP-001,DEPT-DIAG,2026-01-04,1,2026,1,1,1,0,1,0,1,0,1,1,True,2.0,2.0,2.0,0.0,5.0,5.0,2.6349979803551675,3.132852227359617,2.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-PEX-20260104,HOSP-001,DEPT-PEX,2026-01-04,1,2026,1,1,1,0,1,0,1,0,1,1,True,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,False,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-OPC-20260104,HOSP-001,DEPT-OPC,2026-01-04,1,2026,1,1,1,1,0,0,1,0,1,1,True,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,False,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
PEX-HOSP-001-DEPT-ICU-20260105,HOSP-001,DEPT-ICU,2026-01-05,1,2026,1,1,1,0,0,1,1,0,1,1,True,3.0,3.0,3.0,0.0,12.0,12.0,3.696962225266597,4.452065182994552,3.0,True,True,True,True,True,False,PROC-PEX-8337749CCBE7,2026-07-26 22:04:48.872161,2D-4.0
