queue_record_id,hospital_id,department_id,queue_date,reporting_date,reporting_month,queue_stage,arrivals_count,served_count,waiting_patient_count,average_wait_minutes,median_wait_minutes,maximum_wait_minutes,summary_source_flag,encounter_derived_flag,valid_queue_record_flag,source_primary_key,processing_run_id,validation_run_id,transformation_version,processed_datetime,source_row_number
QUEUE-000000001,HOSP-001,DEPT-DIAG,2026-01-01,2026-01-01,2026-01,Pharmacy,50,47,3,33.9,34.0,,,,True,QUEUE-000000001,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000002,HOSP-001,DEPT-DIAG,2026-01-02,2026-01-02,2026-01,Radiology,34,32,2,30.4,33.0,,,,True,QUEUE-000000002,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000003,HOSP-001,DEPT-DIAG,2026-01-03,2026-01-03,2026-01,Pharmacy,31,30,1,34.0,36.5,,,,True,QUEUE-000000003,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000004,HOSP-001,DEPT-DIAG,2026-01-04,2026-01-04,2026-01,Consultation,58,56,2,32.4,36.5,,,,True,QUEUE-000000004,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000005,HOSP-001,DEPT-DIAG,2026-01-05,2026-01-05,2026-01,Pharmacy,37,35,2,32.9,32.0,,,,True,QUEUE-000000005,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000006,HOSP-001,DEPT-DIAG,2026-01-06,2026-01-06,2026-01,Pharmacy,47,46,1,32.2,32.0,,,,True,QUEUE-000000006,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000007,HOSP-001,DEPT-DIAG,2026-01-07,2026-01-07,2026-01,Registration,42,42,0,30.7,29.5,,,,True,QUEUE-000000007,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000008,HOSP-001,DEPT-DIAG,2026-01-08,2026-01-08,2026-01,Radiology,58,57,1,30.2,28.0,,,,True,QUEUE-000000008,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000009,HOSP-001,DEPT-DIAG,2026-01-09,2026-01-09,2026-01,Registration,53,50,3,32.1,32.5,,,,True,QUEUE-000000009,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
QUEUE-000000010,HOSP-001,DEPT-DIAG,2026-01-10,2026-01-10,2026-01,Triage,51,50,1,36.1,37.0,,,,True,QUEUE-000000010,PROC-QCS-92010F32B162,VAL-C62B370EC6C3,2D-3B-1.0.0,2026-07-26 08:37:02.172746,
