staff_id,hospital_id,home_department_id,staff_role_id,staff_category,employment_type,fte_value,employment_start_date,employment_end_date,active_flag,source_primary_key,source_row_number,processing_run_id,validation_run_id,transformation_version,processed_datetime
STAFF-0001,HOSP-001,DEPT-ADM,ROLE-PEO,Administrative,Contract,1.0,2024-04-12,,True,STAFF-0001,1,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0002,HOSP-001,DEPT-DIAG,ROLE-HCA,Support,Full-Time,1.0,2024-03-24,,True,STAFF-0002,2,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0003,HOSP-001,DEPT-ED,ROLE-AMO,Doctor,Part-Time,0.6,2023-09-15,,True,STAFF-0003,3,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0004,HOSP-001,DEPT-ED,ROLE-RN,Nurse,Full-Time,1.0,2023-07-07,,True,STAFF-0004,4,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0005,HOSP-001,DEPT-ED,ROLE-MO,Doctor,Full-Time,1.0,2024-06-08,,True,STAFF-0005,5,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0006,HOSP-001,DEPT-MED,ROLE-ED-PHY,Doctor,Part-Time,0.6,2023-01-07,,True,STAFF-0006,6,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0007,HOSP-001,DEPT-ICU,ROLE-PEO,Administrative,Full-Time,1.0,2023-07-01,,True,STAFF-0007,7,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0008,HOSP-001,DEPT-ED,ROLE-RAD,Allied Health,Contract,0.75,2024-03-22,,True,STAFF-0008,8,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0009,HOSP-001,DEPT-ICU,ROLE-MO,Doctor,Contract,0.75,2023-01-18,,True,STAFF-0009,9,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0010,HOSP-001,DEPT-ICU,ROLE-RN,Nurse,Full-Time,1.0,2023-01-23,,True,STAFF-0010,10,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0011,HOSP-001,DEPT-ICU,ROLE-RAD,Allied Health,Contract,1.0,2024-07-14,,True,STAFF-0011,11,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0012,HOSP-001,DEPT-OPC,ROLE-ED-PHY,Doctor,Part-Time,0.5,2023-04-01,,True,STAFF-0012,12,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0013,HOSP-001,DEPT-ADM,ROLE-PHARM,Allied Health,Full-Time,1.0,2024-03-10,,True,STAFF-0013,13,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0014,HOSP-001,DEPT-MED,ROLE-ED-PHY,Doctor,Full-Time,1.0,2023-09-16,,True,STAFF-0014,14,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0015,HOSP-001,DEPT-MED,ROLE-ED-PHY,Doctor,Contract,0.75,2024-10-29,,True,STAFF-0015,15,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0016,HOSP-001,DEPT-ADM,ROLE-RN,Nurse,Full-Time,1.0,2024-03-05,,True,STAFF-0016,16,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0017,HOSP-001,DEPT-MED,ROLE-MO,Doctor,Part-Time,0.6,2024-04-18,,True,STAFF-0017,17,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0018,HOSP-001,DEPT-ADM,ROLE-ED-PHY,Doctor,Contract,1.0,2023-11-04,,True,STAFF-0018,18,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0019,HOSP-001,DEPT-ED,ROLE-AMO,Doctor,Contract,0.75,2024-07-06,,True,STAFF-0019,19,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0020,HOSP-001,DEPT-SURG,ROLE-PEO,Administrative,Full-Time,1.0,2023-03-21,,True,STAFF-0020,20,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0021,HOSP-001,DEPT-DIAG,ROLE-AMO,Doctor,Part-Time,0.6,2024-04-02,,True,STAFF-0021,21,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0022,HOSP-001,DEPT-SURG,ROLE-RAD,Allied Health,Part-Time,0.5,2023-11-06,,True,STAFF-0022,22,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0023,HOSP-001,DEPT-MED,ROLE-MO,Doctor,Part-Time,0.6,2023-11-04,,True,STAFF-0023,23,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0024,HOSP-001,DEPT-OPC,ROLE-PHARM,Allied Health,Full-Time,1.0,2024-04-06,,True,STAFF-0024,24,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0025,HOSP-001,DEPT-ED,ROLE-MO,Doctor,Full-Time,1.0,2023-05-30,,True,STAFF-0025,25,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0026,HOSP-001,DEPT-ADM,ROLE-MO,Doctor,Full-Time,1.0,2023-04-05,,True,STAFF-0026,26,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0027,HOSP-001,DEPT-MED,ROLE-PHARM,Allied Health,Full-Time,1.0,2023-09-08,,True,STAFF-0027,27,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0028,HOSP-001,DEPT-MED,ROLE-PEO,Administrative,Contract,0.5,2024-01-26,,True,STAFF-0028,28,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
STAFF-0029,HOSP-001,DEPT-ICU,ROLE-AMO,Doctor,Full-Time,1.0,2023-10-16,,True,STAFF-0029,29,PROC-226787338905,VAL-C62B370EC6C3,2D-2.1.0,2026-07-25T22:46:24.975563
