burden_record_id,threshold_candidate_id,kpi_id,candidate_green_count,candidate_amber_count,candidate_red_count,not_assessed_count,unavailable_count,green_percentage,amber_percentage,red_percentage,amber_plus_red_percentage,potential_alert_days,status_transition_count,maximum_consecutive_amber,maximum_consecutive_red,classification_burden_level,calibration_run_id
BRD-A703515B8013,CAND-CFFC26CDAEA8,kpi_001,2261,514,145,0,0,77.43150684931507,17.602739726027398,4.965753424657534,22.568493150684933,659,0,0,0,Moderate,THCAL-DBEA0A3F3860
BRD-8E75E8E17748,CAND-9132137F3353,kpi_001,2371,292,257,0,0,81.19863013698631,10.0,8.801369863013699,18.801369863013697,549,0,0,0,Moderate,THCAL-DBEA0A3F3860
BRD-2971C502DC6B,CAND-D39195440C4F,kpi_001,798,1463,659,0,0,27.328767123287673,50.1027397260274,22.568493150684933,72.67123287671234,2122,0,0,0,Very High,THCAL-DBEA0A3F3860
BRD-D046136AD88E,CAND-608F03EF0032,kpi_002,2206,546,168,0,0,75.54794520547945,18.698630136986303,5.7534246575342465,24.452054794520546,714,0,0,0,Moderate,THCAL-DBEA0A3F3860
BRD-297DC02686D1,CAND-401D561CEDE3,kpi_002,2330,297,293,0,0,79.7945205479452,10.17123287671233,10.034246575342467,20.205479452054796,590,0,0,0,Moderate,THCAL-DBEA0A3F3860
BRD-67BB917C23A8,CAND-7D40F54C5FD8,kpi_002,917,1232,771,0,0,31.404109589041095,42.19178082191781,26.4041095890411,68.5958904109589,2003,0,0,0,Very High,THCAL-DBEA0A3F3860
BRD-2C31F73C7854,CAND-CA0102EBD968,kpi_003,592,397,106,0,0,54.06392694063927,36.25570776255708,9.680365296803654,45.93607305936073,503,0,0,0,Very High,THCAL-DBEA0A3F3860
BRD-B2EAB3536B33,CAND-302D7A9F11B5,kpi_003,583,280,232,0,0,53.24200913242009,25.570776255707763,21.187214611872147,46.757990867579906,512,0,0,0,Very High,THCAL-DBEA0A3F3860
BRD-E7CA1D28E698,CAND-1EC4883C83DB,kpi_003,319,381,395,0,0,29.132420091324203,34.794520547945204,36.07305936073059,70.86757990867581,776,0,0,0,Very High,THCAL-DBEA0A3F3860
BRD-1A2798E90E20,CAND-3BF16ED2129B,kpi_004,821,219,55,0,0,74.9771689497717,20.0,5.0228310502283104,25.022831050228312,274,0,0,0,High,THCAL-DBEA0A3F3860
BRD-47B363C94CB3,CAND-B80C86F00895,kpi_004,877,108,110,0,0,80.09132420091323,9.863013698630137,10.045662100456621,19.908675799086758,218,0,0,0,Moderate,THCAL-DBEA0A3F3860
BRD-354D5A9A2DD7,CAND-C7926AE694F2,kpi_004,274,547,274,0,0,25.022831050228312,49.954337899543376,25.022831050228312,74.9771689497717,821,0,0,0,Very High,THCAL-DBEA0A3F3860
BRD-51E259925D80,CAND-9415103FD987,kpi_005,741,191,52,0,0,75.3048780487805,19.410569105691057,5.284552845528456,24.695121951219512,243,0,0,0,Moderate,THCAL-DBEA0A3F3860
BRD-F9C86DABA10E,CAND-F76D963AE6DE,kpi_005,776,109,99,0,0,78.86178861788618,11.077235772357724,10.060975609756099,21.138211382113823,208,0,0,0,Moderate,THCAL-DBEA0A3F3860
BRD-17E120B4EB3A,CAND-E8AC265EF263,kpi_005,535,202,247,0,0,54.36991869918699,20.528455284552845,25.101626016260166,45.63008130081301,449,0,0,0,Very High,THCAL-DBEA0A3F3860
BRD-673BD4AD8C6D,CAND-CB8525C68FEC,kpi_006,1996,374,13,0,0,83.75996642887117,15.694502727654216,0.5455308434746118,16.24003357112883,387,0,0,0,Moderate,THCAL-DBEA0A3F3860
BRD-7BB833C05FB8,CAND-A643D6F72D76,kpi_006,1996,156,231,0,0,83.75996642887117,6.546370121695342,9.693663449433487,16.24003357112883,387,0,0,0,Moderate,THCAL-DBEA0A3F3860
BRD-3DBFA2AC078D,CAND-F088CC0F3975,kpi_006,657,1339,387,0,0,27.570289550986153,56.18967687788502,16.24003357112883,72.42971044901385,1726,0,0,0,Very High,THCAL-DBEA0A3F3860
