dataset,record_count,exported
analytical_six_kpi_daily,17520,True
analytical_six_kpi_evidence,36500,True
analytical_six_kpi_exclusions,3990,True
analytical_six_kpi_lineage,23360,True
analytical_six_kpi_issues,3457,True
analytical_six_kpi_audit,13,True
analytical_six_kpi_coverage_daily,17520,True
six_kpi_integration_manifest,0,True
six_kpi_kpi_count_reconciliation,0,True
six_kpi_status_distribution,0,True
six_kpi_calculation_status_summary,0,True
six_kpi_threshold_status_summary,0,True
six_kpi_confidence_summary,0,True
six_kpi_integration_status_summary,0,True
six_kpi_evidence_status_summary,0,True
six_kpi_lineage_status_summary,0,True
six_kpi_coverage_summary,0,True
six_kpi_duplicate_check,0,True
six_kpi_value_status_consistency,0,True
six_kpi_governance_consistency,0,True
six_kpi_schema_validation,0,True
six_kpi_issue_log,0,True
six_kpi_exclusion_summary,0,True
six_kpi_lineage_summary,0,True
