integration_record_id,kpi_id,threshold_is_provisional,threshold_approval_status,configuration_version,issues
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260101,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260101,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260102,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260102,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260103,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260103,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260104,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260104,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260105,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260105,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260106,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260106,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260107,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260107,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260108,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260109,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260109,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260110,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260110,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260111,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260111,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260112,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260112,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260113,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260113,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260114,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260114,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260115,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260115,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260116,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260116,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260117,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260117,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260118,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260118,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260119,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260119,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260120,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260120,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260121,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260121,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260122,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260122,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260123,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260123,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260124,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260124,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260125,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260125,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260126,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260126,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260127,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260127,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260128,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260128,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260129,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260129,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260130,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260130,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260131,kpi_001,True,Draft,,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260131,kpi_002,True,Draft,,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260201,kpi_001,True,Draft,,none
