integration_record_id,kpi_id,kpi_value,calculation_status,threshold_status,data_confidence_level,inconsistencies
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260101,kpi_001,80.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260101,kpi_002,8.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260102,kpi_001,95.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260102,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260103,kpi_001,90.47619047619048,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260103,kpi_002,4.761904761904762,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260104,kpi_001,93.33333333333331,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260104,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260105,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260105,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260106,kpi_001,90.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260106,kpi_002,10.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260107,kpi_001,80.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260107,kpi_002,6.666666666666667,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260108,kpi_001,83.33333333333334,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260108,kpi_002,5.555555555555555,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260109,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260109,kpi_002,4.545454545454546,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260110,kpi_001,90.47619047619048,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260110,kpi_002,4.761904761904762,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260111,kpi_001,82.35294117647058,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260111,kpi_002,5.88235294117647,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260112,kpi_001,100.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260112,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260113,kpi_001,88.0,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260113,kpi_002,8.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260114,kpi_001,86.66666666666667,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260114,kpi_002,0.0,Calculated,Not Assessed,High,none
IKPI-kpi_001-HOSP-001-DEPT-ADM-20260115,kpi_001,88.88888888888889,Calculated,Not Assessed,High,none
IKPI-kpi_002-HOSP-001-DEPT-ADM-20260115,kpi_002,11.11111111111111,Calculated,Not Assessed,High,none
