integrated_decision_id,approval_package_id,lineage_available,lineage_stages,stage_count,raw_data_source,processed_data_source,kpi_source,trend_threshold_source,risk_source,recommendation_source,scenario_source,financial_source,integration_source,lineage_completeness_score
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,True,raw data → processed data → processed data → KPI calculation → KPI calculation → trend and threshold → trend and threshold → risk prioritisation → risk prioritisation → recommendation → recommendation → scenario modelling → scenario modelling → financial analysis → financial analysis → integrated decision record,9,Phase 1 Data Foundation,Phase 1 Data Processing,Phase 2A KPI Analytics,Phase 2B Early Warning,Phase 2B Risk Intelligence,Phase 2C-1 Recommendations,Phase 2C-2 Scenario Modelling,Phase 2C-3 Financial Impact,Phase 2D-1 Integrated Decision Model,0.89
