integrated_decision_id,approval_package_id,decision_status,decision_status_reason,closure_category
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260629,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260703,Monitoring Only,Package does not justify active intervention; observation recommended.,Monitoring Only
