integrated_decision_id,approval_package_id,decision_status,section_score,completeness_status,identity_complete,issue_summary_complete,kpi_risk_complete,recommendation_complete,scenario_complete,financial_complete,governance_complete,management_questions_complete,actions_complete,evidence_complete,lineage_complete
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260330,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260409,Ready with Conditions,0.5714,Complete with Conditions,True,False,False,False,True,True,True,True,True,True,True
