monitoring_id,decision_package_id,approval_package_id,monitoring_required,monitoring_frequency,monitoring_kpi,trigger_condition,escalation_condition,responsible_role,reassessment_condition,next_review_requirement
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-MON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,True,Monthly,kpi_001,KPI threshold breach or trend deterioration,Repeated breach or risk tier increase,Operations Manager,Status change or new evidence,Next review per Monthly schedule
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-MON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,True,Monthly,kpi_001,KPI threshold breach or trend deterioration,Repeated breach or risk tier increase,Operations Manager,Status change or new evidence,Next review per Monthly schedule
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-MON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,True,Monthly,kpi_001,KPI threshold breach or trend deterioration,Repeated breach or risk tier increase,Operations Manager,Status change or new evidence,Next review per Monthly schedule
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-MON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,True,Monthly,kpi_001,KPI threshold breach or trend deterioration,Repeated breach or risk tier increase,Operations Manager,Status change or new evidence,Next review per Monthly schedule
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-MON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,True,Monthly,kpi_001,KPI threshold breach or trend deterioration,Repeated breach or risk tier increase,Operations Manager,Status change or new evidence,Next review per Monthly schedule
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-MON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,True,Monthly,kpi_001,KPI threshold breach or trend deterioration,Repeated breach or risk tier increase,Operations Manager,Status change or new evidence,Next review per Monthly schedule
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-MON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,True,Monthly,kpi_001,KPI threshold breach or trend deterioration,Repeated breach or risk tier increase,Operations Manager,Status change or new evidence,Next review per Monthly schedule
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-MON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,True,Monthly,kpi_001,KPI threshold breach or trend deterioration,Repeated breach or risk tier increase,Operations Manager,Status change or new evidence,Next review per Monthly schedule
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-MON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,True,Monthly,kpi_001,KPI threshold breach or trend deterioration,Repeated breach or risk tier increase,Operations Manager,Status change or new evidence,Next review per Monthly schedule
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-MON,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,True,Monthly,kpi_001,KPI threshold breach or trend deterioration,Repeated breach or risk tier increase,Operations Manager,Status change or new evidence,Next review per Monthly schedule
