priority_view_id,decision_package_id,approval_package_id,hospital,department,dominant_kpi,risk_tier,urgency,package_status,decision_readiness,scenario_readiness,financial_readiness,contradiction_warning,provisional_warning,top_management_question,permitted_next_action,monitoring_required
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Unknown,Admissions,Staffing Level,,,Ready with Conditions,Unknown,1.0,Ready for Financial Comparison,,False; False; False; False; False; False,Are the trade-offs acceptable?,Proceed to Limited-Trial Consideration,True
