confirmation_id,decision_package_id,approval_package_id,confirmation_type,confirmation_description,responsible_role,required_before_action,current_status,evidence_required,governance_warning
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-001,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Risk Acknowledgement,Operational risk has been reviewed and acknowledged.,Operations Manager,True,Pending,Risk review log,Do not mark as completed without evidence.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-002,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Assumption Acceptance,Key assumptions underlying recommendations have been accepted.,Clinical Lead,True,Pending,Assumption sign-off record,Do not mark as completed without evidence.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-CF-005,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Governance Review,Governance warnings and limitations have been reviewed.,Governance Officer,True,Pending,Governance review log,Do not mark as completed without evidence.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-001,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Risk Acknowledgement,Operational risk has been reviewed and acknowledged.,Operations Manager,True,Pending,Risk review log,Do not mark as completed without evidence.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-002,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Assumption Acceptance,Key assumptions underlying recommendations have been accepted.,Clinical Lead,True,Pending,Assumption sign-off record,Do not mark as completed without evidence.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-CF-005,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Governance Review,Governance warnings and limitations have been reviewed.,Governance Officer,True,Pending,Governance review log,Do not mark as completed without evidence.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-001,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Risk Acknowledgement,Operational risk has been reviewed and acknowledged.,Operations Manager,True,Pending,Risk review log,Do not mark as completed without evidence.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-002,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Assumption Acceptance,Key assumptions underlying recommendations have been accepted.,Clinical Lead,True,Pending,Assumption sign-off record,Do not mark as completed without evidence.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-CF-005,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Governance Review,Governance warnings and limitations have been reviewed.,Governance Officer,True,Pending,Governance review log,Do not mark as completed without evidence.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-001,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Risk Acknowledgement,Operational risk has been reviewed and acknowledged.,Operations Manager,True,Pending,Risk review log,Do not mark as completed without evidence.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-002,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Assumption Acceptance,Key assumptions underlying recommendations have been accepted.,Clinical Lead,True,Pending,Assumption sign-off record,Do not mark as completed without evidence.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-CF-005,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Governance Review,Governance warnings and limitations have been reviewed.,Governance Officer,True,Pending,Governance review log,Do not mark as completed without evidence.
