decision_package_id,approval_package_id,integrated_decision_id,episode_id,hospital_id,department_id,dominant_kpi_id,dominant_kpi_name,scenario_family,package_status,department_name,decision_scorecard_id,scorecard_version,scorecard_status,approval_status
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,EP-HOSP-001-DEPT-ADM-kpi_001-20260108,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,EP-HOSP-001-DEPT-ADM-kpi_001-20260116,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,EP-HOSP-001-DEPT-ADM-kpi_001-20260209,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,EP-HOSP-001-DEPT-ADM-kpi_001-20260328,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,EP-HOSP-001-DEPT-ADM-kpi_001-20260410,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,EP-HOSP-001-DEPT-ADM-kpi_001-20260420,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,EP-HOSP-001-DEPT-ADM-kpi_001-20260506,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,EP-HOSP-001-DEPT-ADM-kpi_001-20260602,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,EP-HOSP-001-DEPT-ADM-kpi_001-20260608,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,EP-HOSP-001-DEPT-ADM-kpi_001-20260721,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,EP-HOSP-001-DEPT-ADM-kpi_001-20260726,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260726,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,EP-HOSP-001-DEPT-ADM-kpi_001-20260822,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260822,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,EP-HOSP-001-DEPT-ADM-kpi_001-20261012,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261012,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,EP-HOSP-001-DEPT-ADM-kpi_001-20261021,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261021,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,EP-HOSP-001-DEPT-ADM-kpi_001-20261127,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261127,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,EP-HOSP-001-DEPT-ADM-kpi_001-20261205,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261205,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,EP-HOSP-001-DEPT-ADM-kpi_001-20261220,HOSP-001,DEPT-ADM,kpi_001,Staffing Level,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20261220,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,EP-HOSP-001-DEPT-ADM-kpi_002-20260202,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260202,1.0,Active,Pending Management Review
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,EP-HOSP-001-DEPT-ADM-kpi_002-20260206,HOSP-001,DEPT-ADM,kpi_002,Staff Absenteeism Rate,No-Action or Baseline Comparator,Ready with Conditions,Admissions,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_002-20260206,1.0,Active,Pending Management Review
