dimension_record_id,decision_package_id,approval_package_id,operational_risk_score,risk_tier,priority_tier,urgency,breach_status,watch_status,trend_direction,sustained_movement_flag,dominant_breach_type,provisional_threshold_flag,evidence_reference_count,evidence_phase_coverage,evidence_completeness,evidence_status,missing_evidence_flag,lineage_reference_count,lineage_stage_coverage,lineage_completeness,lineage_status,orphan_lineage_flag,representative_recommendation_available,recommendation_validation_status,recommendation_confirmation_required,recommendation_limitation_count,recommendation_governance_warning,recommendation_readiness,scenario_required_status,scenario_readiness,baseline_available,comparator_completeness,comparator_consistency,scenario_validation_status,scenario_confidence,tradeoff_status,displacement_status,sensitivity_status,dominance_status,financial_review_required,financial_readiness,cost_completeness,benefit_completeness,net_impact_available,roi_status,payback_status,affordability_status,financial_confidence,missing_financial_input_flag,uncertainty_available,lower_financial_estimate,central_financial_estimate,upper_financial_estimate,financial_range_width,primary_uncertainty_driver,uncertainty_status,scenario_sensitivity_status,financial_sensitivity_status,break_even_status,contradiction_warning_x,contradiction_severity,provisional_warning_x,stakeholder_validation_required_x,assumption_validation_required_x,baseline_validation_required_x,financial_validation_required_x,governance_issue_count_x,governance_burden_status_x,package_readiness_x,package_completeness_x,decision_readiness_x,permitted_management_actions_x,blocking_condition_count_x,management_review_required_x,approval_status_x,display_level,display_level_record_id,operational_risk_display,evidence_strength_display,lineage_strength_display,recommendation_readiness_display,scenario_readiness_display,financial_readiness_display,uncertainty_display,governance_burden_display,management_readiness_display,overall_display_level,display_level_formula,governance_burden_record_id,blocking_question_count,pending_confirmation_count,governance_issue_count_y,contradiction_warning_y,provisional_warning_y,stakeholder_validation_required_y,assumption_validation_required_y,baseline_validation_required_y,financial_validation_required_y,governance_burden_status_y,burden_source_reference,management_readiness_record_id,package_readiness_y,package_completeness_y,decision_readiness_y,permitted_management_actions_y,blocking_condition_count_y,management_review_required_y,approval_status_y,readiness_reconciliation_note,decision_scorecard_id
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-DIM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,56.37,Not Assessable,,,,,,,,False,3,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,1,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,False,,,0,,0.0,,1.0,,4/4 present,Consistent,Valid with Conditions,,,,,,,Ready for Financial Comparison,Complete with Governed Assumptions,Partial,False,ROI Calculated — Governed Inputs,Calculated,,Moderate,False,False,,,,,Workforce cost,Not Assessable,,Missing actual cost rates,Not Assessable,False,No Contradiction,False; False; False; False; False; False,True,False,False,False,0,Moderate,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Conditional,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-DL,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-GB,3,3,0,False,False; False; False; False; False; False,True,False,False,False,Moderate,Step 2D-2 management questions and confirmations,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-MR,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Reconciled from Step 2D-1 and Step 2D-2 status fields.,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-DIM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,53.1,Not Assessable,,,,,,,,False,3,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,1,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,False,,,0,,0.0,,1.0,,4/4 present,Consistent,Valid with Conditions,,,,,,,Ready for Financial Comparison,Complete with Governed Assumptions,Partial,False,ROI Calculated — Governed Inputs,Calculated,,Moderate,False,False,,,,,Workforce cost,Not Assessable,,Missing actual cost rates,Not Assessable,False,No Contradiction,False; False; False; False; False; False,True,False,False,False,0,Moderate,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Conditional,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-DL,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-GB,3,3,0,False,False; False; False; False; False; False,True,False,False,False,Moderate,Step 2D-2 management questions and confirmations,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-MR,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Reconciled from Step 2D-1 and Step 2D-2 status fields.,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-DIM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,67.87,Not Assessable,,,,,,,,False,3,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,1,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,False,,,0,,0.0,,1.0,,4/4 present,Consistent,Valid with Conditions,,,,,,,Ready for Financial Comparison,Complete with Governed Assumptions,Partial,False,ROI Calculated — Governed Inputs,Calculated,,Moderate,False,False,,,,,Workforce cost,Not Assessable,,Missing actual cost rates,Not Assessable,False,No Contradiction,False; False; False; False; False; False,True,False,False,False,0,Moderate,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Conditional,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-DL,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-GB,3,3,0,False,False; False; False; False; False; False,True,False,False,False,Moderate,Step 2D-2 management questions and confirmations,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-MR,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Reconciled from Step 2D-1 and Step 2D-2 status fields.,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-DIM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,69.63,Not Assessable,,,,,,,,False,3,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,1,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,False,,,0,,0.0,,1.0,,4/4 present,Consistent,Valid with Conditions,,,,,,,Ready for Financial Comparison,Complete with Governed Assumptions,Partial,False,ROI Calculated — Governed Inputs,Calculated,,Moderate,False,False,,,,,Workforce cost,Not Assessable,,Missing actual cost rates,Not Assessable,False,No Contradiction,False; False; False; False; False; False,True,False,False,False,0,Moderate,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Conditional,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-DL,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-GB,3,3,0,False,False; False; False; False; False; False,True,False,False,False,Moderate,Step 2D-2 management questions and confirmations,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-MR,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Reconciled from Step 2D-1 and Step 2D-2 status fields.,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-DIM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,62.63,Not Assessable,,,,,,,,False,3,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,1,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,False,,,0,,0.0,,1.0,,4/4 present,Consistent,Valid with Conditions,,,,,,,Ready for Financial Comparison,Complete with Governed Assumptions,Partial,False,ROI Calculated — Governed Inputs,Calculated,,Moderate,False,False,,,,,Workforce cost,Not Assessable,,Missing actual cost rates,Not Assessable,False,No Contradiction,False; False; False; False; False; False,True,False,False,False,0,Moderate,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Conditional,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-DL,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-GB,3,3,0,False,False; False; False; False; False; False,True,False,False,False,Moderate,Step 2D-2 management questions and confirmations,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-MR,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Reconciled from Step 2D-1 and Step 2D-2 status fields.,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-DIM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,72.91,Not Assessable,,,,,,,,False,3,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,1,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,False,,,0,,0.0,,1.0,,4/4 present,Consistent,Valid with Conditions,,,,,,,Ready for Financial Comparison,Complete with Governed Assumptions,Partial,False,ROI Calculated — Governed Inputs,Calculated,,Moderate,False,False,,,,,Workforce cost,Not Assessable,,Missing actual cost rates,Not Assessable,False,No Contradiction,False; False; False; False; False; False,True,False,False,False,0,Moderate,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Conditional,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-DL,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-GB,3,3,0,False,False; False; False; False; False; False,True,False,False,False,Moderate,Step 2D-2 management questions and confirmations,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-MR,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Reconciled from Step 2D-1 and Step 2D-2 status fields.,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-DIM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,71.49,Not Assessable,,,,,,,,False,3,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,1,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,False,,,0,,0.0,,1.0,,4/4 present,Consistent,Valid with Conditions,,,,,,,Ready for Financial Comparison,Complete with Governed Assumptions,Partial,False,ROI Calculated — Governed Inputs,Calculated,,Moderate,False,False,,,,,Workforce cost,Not Assessable,,Missing actual cost rates,Not Assessable,False,No Contradiction,False; False; False; False; False; False,True,False,False,False,0,Moderate,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Conditional,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-DL,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-GB,3,3,0,False,False; False; False; False; False; False,True,False,False,False,Moderate,Step 2D-2 management questions and confirmations,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-MR,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Reconciled from Step 2D-1 and Step 2D-2 status fields.,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-DIM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,46.59,Not Assessable,,,,,,,,False,3,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,1,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,False,,,0,,0.0,,1.0,,4/4 present,Consistent,Valid with Conditions,,,,,,,Ready for Financial Comparison,Complete with Governed Assumptions,Partial,False,ROI Calculated — Governed Inputs,Calculated,,Moderate,False,False,,,,,Workforce cost,Not Assessable,,Missing actual cost rates,Not Assessable,False,No Contradiction,False; False; False; False; False; False,True,False,False,False,0,Moderate,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Conditional,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-DL,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-GB,3,3,0,False,False; False; False; False; False; False,True,False,False,False,Moderate,Step 2D-2 management questions and confirmations,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-MR,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Reconciled from Step 2D-1 and Step 2D-2 status fields.,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-DIM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,85.74,Not Assessable,,,,,,,,False,3,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,1,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,False,,,0,,0.0,,1.0,,4/4 present,Consistent,Valid with Conditions,,,,,,,Ready for Financial Comparison,Complete with Governed Assumptions,Partial,False,ROI Calculated — Governed Inputs,Calculated,,Moderate,False,False,,,,,Workforce cost,Not Assessable,,Missing actual cost rates,Not Assessable,False,No Contradiction,False; False; False; False; False; False,True,False,False,False,0,Moderate,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Conditional,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-DL,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-GB,3,3,0,False,False; False; False; False; False; False,True,False,False,False,Moderate,Step 2D-2 management questions and confirmations,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-MR,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Reconciled from Step 2D-1 and Step 2D-2 status fields.,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-DIM,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,70.25,Not Assessable,,,,,,,,False,3,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,1,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,1.0,Complete,False,False,,,0,,0.0,,1.0,,4/4 present,Consistent,Valid with Conditions,,,,,,,Ready for Financial Comparison,Complete with Governed Assumptions,Partial,False,ROI Calculated — Governed Inputs,Calculated,,Moderate,False,False,,,,,Workforce cost,Not Assessable,,Missing actual cost rates,Not Assessable,False,No Contradiction,False; False; False; False; False; False,True,False,False,False,0,Moderate,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Conditional,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-DL,Not Assessable,Strong,Strong,Not Assessable,Not Assessable,Not Assessable,Not Assessable,Adequate,Conditional,Conditional,Transparent mapping from governed status to display band. Not a hidden score.,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-GB,3,3,0,False,False; False; False; False; False; False,True,False,False,False,Moderate,Step 2D-2 management questions and confirmations,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-MR,Ready with Conditions,,,Review Integrated Decision Package | Continue Monitoring | Defer Decision,0,True,Pending Management Review,Reconciled from Step 2D-1 and Step 2D-2 status fields.,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721
