evidence_record_id,decision_package_id,approval_package_id,evidence_reference_count,evidence_complete,evidence_ids,source_phase_list,audit_traceability_status
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable
