priority_view_id,decision_package_id,approval_package_id,risk_tier,urgency,breach_status,sustained_movement_flag,management_attention_required,decision_readiness,governance_burden_status,evidence_status,financial_readiness,package_readiness,primary_sort_key,secondary_sort_key,priority_ordering_note
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Not Assessable,,,,True,,Moderate,Complete,Ready for Financial Comparison,Ready with Conditions,7,4,Primary: risk tier. Secondary: urgency. Tertiary: governance burden. Financial value is not primary.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Not Assessable,,,,True,,Moderate,Complete,Ready for Financial Comparison,Ready with Conditions,7,4,Primary: risk tier. Secondary: urgency. Tertiary: governance burden. Financial value is not primary.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Not Assessable,,,,True,,Moderate,Complete,Ready for Financial Comparison,Ready with Conditions,7,4,Primary: risk tier. Secondary: urgency. Tertiary: governance burden. Financial value is not primary.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Not Assessable,,,,True,,Moderate,Complete,Ready for Financial Comparison,Ready with Conditions,7,4,Primary: risk tier. Secondary: urgency. Tertiary: governance burden. Financial value is not primary.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Not Assessable,,,,True,,Moderate,Complete,Ready for Financial Comparison,Ready with Conditions,7,4,Primary: risk tier. Secondary: urgency. Tertiary: governance burden. Financial value is not primary.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Not Assessable,,,,True,,Moderate,Complete,Ready for Financial Comparison,Ready with Conditions,7,4,Primary: risk tier. Secondary: urgency. Tertiary: governance burden. Financial value is not primary.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Not Assessable,,,,True,,Moderate,Complete,Ready for Financial Comparison,Ready with Conditions,7,4,Primary: risk tier. Secondary: urgency. Tertiary: governance burden. Financial value is not primary.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Not Assessable,,,,True,,Moderate,Complete,Ready for Financial Comparison,Ready with Conditions,7,4,Primary: risk tier. Secondary: urgency. Tertiary: governance burden. Financial value is not primary.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Not Assessable,,,,True,,Moderate,Complete,Ready for Financial Comparison,Ready with Conditions,7,4,Primary: risk tier. Secondary: urgency. Tertiary: governance burden. Financial value is not primary.
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-PV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Not Assessable,,,,True,,Moderate,Complete,Ready for Financial Comparison,Ready with Conditions,7,4,Primary: risk tier. Secondary: urgency. Tertiary: governance burden. Financial value is not primary.
