decision_readiness_id,decision_scorecard_id,decision_package_id,integrated_decision_id,approval_package_id,episode_id,hospital_id,hospital_name,department_id,department_name,reporting_date,dominant_kpi_id,dominant_kpi_name,scenario_family,package_status,final_readiness_status,approval_status,causality_status,classification_source,classification_version,precedence_rank,deferral_reason
DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260130,EP-HOSP-001-DEPT-ADM-kpi_006-20260130,HOSP-001,,DEPT-ADM,Admissions,,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Pending Management Review,Not Confirmed,Step 2D-4 rule engine,1.0,4,Monitoring Only
DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260214,EP-HOSP-001-DEPT-ADM-kpi_006-20260214,HOSP-001,,DEPT-ADM,Admissions,,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Pending Management Review,Not Confirmed,Step 2D-4 rule engine,1.0,4,Monitoring Only
DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260325,EP-HOSP-001-DEPT-ADM-kpi_006-20260325,HOSP-001,,DEPT-ADM,Admissions,,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Pending Management Review,Not Confirmed,Step 2D-4 rule engine,1.0,4,Monitoring Only
DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260404,EP-HOSP-001-DEPT-ADM-kpi_006-20260404,HOSP-001,,DEPT-ADM,Admissions,,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Pending Management Review,Not Confirmed,Step 2D-4 rule engine,1.0,4,Monitoring Only
DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260408,EP-HOSP-001-DEPT-ADM-kpi_006-20260408,HOSP-001,,DEPT-ADM,Admissions,,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Pending Management Review,Not Confirmed,Step 2D-4 rule engine,1.0,4,Monitoring Only
DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260413,EP-HOSP-001-DEPT-ADM-kpi_006-20260413,HOSP-001,,DEPT-ADM,Admissions,,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Pending Management Review,Not Confirmed,Step 2D-4 rule engine,1.0,4,Monitoring Only
DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260424,EP-HOSP-001-DEPT-ADM-kpi_006-20260424,HOSP-001,,DEPT-ADM,Admissions,,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Pending Management Review,Not Confirmed,Step 2D-4 rule engine,1.0,4,Monitoring Only
DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260509,EP-HOSP-001-DEPT-ADM-kpi_006-20260509,HOSP-001,,DEPT-ADM,Admissions,,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Pending Management Review,Not Confirmed,Step 2D-4 rule engine,1.0,4,Monitoring Only
DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260618,EP-HOSP-001-DEPT-ADM-kpi_006-20260618,HOSP-001,,DEPT-ADM,Admissions,,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Pending Management Review,Not Confirmed,Step 2D-4 rule engine,1.0,4,Monitoring Only
DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,ID-PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,PKG-EP-HOSP-001-DEPT-ADM-kpi_006-20260623,EP-HOSP-001-DEPT-ADM-kpi_006-20260623,HOSP-001,,DEPT-ADM,Admissions,,kpi_006,Patient Satisfaction Score,Monitoring-Only or Validation Scenario,Monitoring Only,Monitoring Only,Pending Management Review,Not Confirmed,Step 2D-4 rule engine,1.0,4,Monitoring Only
