metric,value
step,2D-4
start_time,2026-07-29T13:40:25.140590
authority_validation_time,0.17
input_loading_time,0.08
readiness_build_time,0.07
population_validation_time,0.03
gate_build_time,0.11
blocking_build_time,6.85
secondary_build_time,0.59
transition_build_time,0.03
queue_build_time,0.03
role_build_time,0.03
escalation_build_time,0.05
explanation_build_time,0.05
contract_build_time,4.54
evidence_lineage_time,0.03
governance_time,0.17
status,SUCCESS
end_time,2026-07-29T13:40:37.995983
total_time_seconds,12.86
scorecards_processed,646
readiness_records_created,646
ready_for_integrated_management_review,76
ready_with_conditions,101
requires_assumption_validation,46
requires_baseline_validation,21
requires_financial_input,5
requires_benefit_validation,5
requires_budget_data,7
requires_stakeholder_validation,36
requires_additional_scenario_analysis,12
requires_evidence_completion,23
requires_lineage_completion,20
monitoring_only,280
non_quantitative,9
not_suitable,5
rejected,0
gates_created,7752
gate_passes,2591
gate_pass_with_conditions,1581
gate_failures,193
blocking_conditions_created,3611
secondary_conditions_created,393
transition_rules_created,646
primary_queues_assigned,646
role_assignments,646
escalation_assignments,646
explanations_created,646
streamlit_contract_records,13301
evidence_records_created,646
lineage_records_created,646
governance_issues,0
no_preferred_scenario_selected,True
no_approved_recommendation,True
no_management_action_selected,True
no_management_approval_recorded,True
causality_status,Not Confirmed
upstream_immutable,True
