escalation_id,decision_readiness_id,decision_scorecard_id,decision_package_id,operational_escalation_status,readiness_status,risk_tier,urgency,management_attention_required,escalation_basis,governance_note
ESC-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Not Assessable,Requires Lineage Completion,Not Assessable,nan,False,Derived from risk tier and urgency; separate from analytical readiness,Operational escalation remains independent of readiness classification
ESC-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Not Assessable,Requires Baseline Validation,Not Assessable,nan,False,Derived from risk tier and urgency; separate from analytical readiness,Operational escalation remains independent of readiness classification
ESC-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Not Assessable,Ready with Conditions,Not Assessable,nan,False,Derived from risk tier and urgency; separate from analytical readiness,Operational escalation remains independent of readiness classification
ESC-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Not Assessable,Ready for Integrated Management Review,Not Assessable,nan,False,Derived from risk tier and urgency; separate from analytical readiness,Operational escalation remains independent of readiness classification
ESC-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Not Assessable,Ready for Integrated Management Review,Not Assessable,nan,False,Derived from risk tier and urgency; separate from analytical readiness,Operational escalation remains independent of readiness classification
ESC-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Not Assessable,Requires Evidence Completion,Not Assessable,nan,False,Derived from risk tier and urgency; separate from analytical readiness,Operational escalation remains independent of readiness classification
ESC-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Not Assessable,Ready for Integrated Management Review,Not Assessable,nan,False,Derived from risk tier and urgency; separate from analytical readiness,Operational escalation remains independent of readiness classification
ESC-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Not Assessable,Ready with Conditions,Not Assessable,nan,False,Derived from risk tier and urgency; separate from analytical readiness,Operational escalation remains independent of readiness classification
ESC-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Not Assessable,Ready with Conditions,Not Assessable,nan,False,Derived from risk tier and urgency; separate from analytical readiness,Operational escalation remains independent of readiness classification
ESC-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Not Assessable,Ready with Conditions,Not Assessable,nan,False,Derived from risk tier and urgency; separate from analytical readiness,Operational escalation remains independent of readiness classification
