evidence_record_id,decision_package_id,approval_package_id,evidence_reference_count,evidence_complete,evidence_ids,source_phase_list,audit_traceability_status,decision_readiness_id,decision_scorecard_id,readiness_evidence_id,reconciliation_status,governance_note
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,REV-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260108,Matched,Evidence reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,REV-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260116,Matched,Evidence reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,REV-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260209,Matched,Evidence reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,REV-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260328,Matched,Evidence reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,REV-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260410,Matched,Evidence reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,REV-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260420,Matched,Evidence reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,REV-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260506,Matched,Evidence reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,REV-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260602,Matched,Evidence reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,REV-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260608,Matched,Evidence reconciled from Step 2D-3
DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721-EV,DPKG-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,3,1.0,Derived from Step 2D-2 evidence register,Phase 2B|Phase 2C-1|Phase 2C-2|Phase 2C-3|Phase 2D-1|Phase 2D-2,Traceable,DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,REV-DR-DSC-PKG-EP-HOSP-001-DEPT-ADM-kpi_001-20260721,Matched,Evidence reconciled from Step 2D-3
